NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04815104,1,50,51,2022,2021,0,.00000,.00000,2,.12000,.12000,47,D,.05750,.05750,0,D,103462,D,0,D,0,D,0,D,0,D,0,D,7000,D,0,D,0,D,0,D,0,D,0,D,14808,D,6937,4331,6240,9027,4331,4331,9040,9027,7915,7915,0,0,0,0,0,0,0,0,0,0,0,0,88654,88654,78654,78654,0,0,1860,1860,9000,16000,79794,79794,0,0,0,0,0
04815114,1,34,0,2022,2021,0,.00000,.00000,1,.24000,.24000,23,D,.04250,.04250,138000,D,0,D,0,D,0,D,0,D,0,D,20460,D,0,D,2900,D,0,D,0,D,0,D,0,D,60,D,24059,5656,24129,23848,5657,5653,24129,23848,10557,10557,20460,20460,0,0,0,0,0,0,0,0,0,0,138000,138000,125450,125050,0,0,4900,5000,0,0,133100,133000,0,0,0,0,0
04815124,1,42,0,2022,2021,0,.00000,.00000,1,.12000,.12000,47,D,.05750,.05750,29682,D,0,D,0,D,0,D,0,D,0,D,0,D,740,D,0,D,0,D,0,D,0,D,0,D,4956,D,793,1087,457,1802,1137,936,1857,1802,2271,2271,0,0,0,0,0,0,0,0,0,0,0,0,29682,29682,17132,16732,0,0,930,930,4500,8000,24252,20752,0,0,0,0,0
04815124,2,34,0,2022,2021,0,.00000,.00000,1,.07650,.00000,47,D,.01150,.00000,10497,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,-2291,-17,-2902,-458,0,-69,0,0,803,803,0,0,0,0,0,0,0,0,0,0,1502,458,10497,10497,0,0,0,0,930,930,4500,8000,5067,1567,0,0,0,0,0
04815134,1,49,51,2022,2021,0,.00000,.00000,2,.24000,.24000,0,T,.00000,.00000,0,D,294571,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,52574,0,52715,52152,0,0,52715,52152,13125,13385,0,0,0,0,0,0,0,0,0,0,0,0,294571,294571,269471,268671,0,0,0,0,0,0,0,0,0,0,0,0,0
04815154,1,73,72,2022,2021,2,.00000,.00000,2,.00000,.18500,50,D,.00000,.00000,0,D,0,D,20000,D,0,D,54482,D,0,D,0,D,6100,D,0,D,0,D,0,D,0,D,0,D,0,D,-4878,0,-6505,0,0,0,95,5,0,0,0,0,0,0,1000,5,1000,0,0,0,0,0,28755,28755,955,55,0,0,3300,3300,20730,21823,0,0,0,0,0,0,0
04815204,1,64,65,2022,2021,0,.00000,.00000,2,.12000,.12000,45,D,.06150,.06250,54000,D,0,D,0,D,0,D,20041,D,0,D,0,D,1300,D,7406,D,0,D,0,D,0,D,0,D,10495,D,2825,2139,2154,4839,2173,2038,4954,4839,4131,4131,0,0,0,0,0,0,0,0,0,0,0,0,71050,71050,44600,43750,0,0,0,0,0,0,71050,71050,0,0,0,0,0
04815264,1,56,62,2022,2021,1,.00000,.00000,2,.00000,.00000,39,D,.03070,.03070,0,D,294571,D,0,D,0,D,0,D,0,D,0,D,33867,D,2380,D,0,D,0,D,0,D,1,D,904000,D,-375,9043,-500,0,9043,9043,0,0,13125,13385,0,0,0,0,500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294571,294571,0,0,0,0,0
04815284,1,32,31,2022,2021,2,.00000,.00000,2,.22000,.22000,05,D,.08000,.09300,115000,D,23000,D,0,D,0,D,0,D,0,D,0,D,5200,D,0,D,0,D,1,D,2,D,2,D,9788,D,6525,4273,4735,11896,4390,3923,16335,15896,10557,10557,0,0,0,0,6000,4000,6000,0,0,0,0,0,138000,138000,112900,112100,0,0,0,0,9606,10404,123012,123012,0,0,0,0,0
04815324,1,73,67,2022,2021,0,.00000,.00000,2,.12000,.12000,44,D,.00000,.00000,0,D,53094,D,0,D,0,D,24650,D,0,D,0,D,6000,D,0,D,0,D,0,D,0,D,0,D,7640,D,3021,0,2352,5031,0,0,5152,5031,4062,4062,0,0,0,0,0,0,0,0,0,0,0,0,74047,74047,46247,45347,0,0,0,0,0,0,0,0,0,0,0,0,0
04815334,1,55,0,2022,2021,0,.00000,.00000,1,-.0765,-.1530,26,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,2016,D,0,D,0,D,0,D,0,D,0,D,0,D,30,D,-1050,0,-1400,0,0,0,0,0,0,0,2016,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12550,12950,0,0,0,0,0,0,0
04815344,1,38,46,2022,2021,8,.00000,.00000,2,.06060,.31060,0,T,.00000,.00000,11978,D,12314,D,0,D,0,D,0,D,0,D,0,D,2000,D,0,D,480,D,3,D,6,D,6,D,6360,D,-30170,0,-37352,-8622,0,0,867,787,1858,1858,0,0,0,0,19000,664,19000,3269,240,123,4980,5353,33772,33772,8672,7872,0,0,0,0,0,0,0,0,0,0,0,0,0
04815384,1,43,39,2022,2021,5,.00000,.00000,2,.21060,.33060,05,D,.00000,.00000,25098,D,24137,D,0,D,0,D,0,D,0,D,17400,D,0,D,317,D,0,D,1,D,3,D,3,D,0,D,-15918,0,-19025,-6596,0,0,2498,2389,3766,3766,17400,17400,0,0,10000,2389,10000,4500,0,0,1723,2096,49235,49235,24135,23335,0,0,0,0,9606,10404,39629,38831,0,0,0,0,0
04815404,1,72,71,2022,2021,2,.00000,.00000,2,.00000,-.1530,44,D,.00000,.00000,0,D,0,D,0,D,0,D,32678,D,0,D,0,D,3800,D,310,D,0,D,0,D,0,D,0,D,1800,D,-4950,0,-6600,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04815424,1,73,73,2022,2021,2,.00000,.00000,2,.00000,-.1530,50,D,.00000,-.0168,0,D,0,D,0,D,0,D,29282,D,0,D,0,D,4030,D,0,D,0,D,0,D,0,D,0,D,0,D,-4950,0,-6600,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,3300,3300,20730,21823,0,0,0,0,0,0,0
04815434,1,65,72,2022,2021,2,.00000,.00000,2,.00000,-.1530,0,T,.00000,.00000,0,D,0,D,0,D,0,D,20882,D,0,D,5400,D,0,D,30,D,0,D,0,D,0,D,0,D,0,D,-4950,0,-6600,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04815454,1,47,19,2022,2021,6,.00000,.00000,2,-.6000,-.4500,11,D,.00000,.00000,10000,D,1200,D,0,D,0,D,0,D,0,D,0,D,2700,D,0,D,0,D,1,D,3,D,3,D,17108,D,-21641,0,-26740,-6345,0,0,0,0,857,857,0,0,0,0,10500,0,10500,1305,0,0,5040,5040,11200,11200,0,0,0,0,25400,25400,6000,7100,0,0,0,0,0,0,0
04815474,1,72,65,2022,2021,2,.00000,.00000,2,.00000,-.1530,03,D,.00000,.00000,0,D,0,D,5500,D,1780,D,30566,D,0,D,0,D,4000,D,1940,D,0,D,0,D,0,D,0,D,12412,D,-4950,-100,-6600,0,-100,-100,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,7955,7955,0,0,0,0,4200,4200,25100,25900,0,0,0,0,0,0,0
04815544,1,27,0,2022,2021,2,.00000,.00000,1,.33060,.33060,0,T,.00000,.00000,40000,D,0,D,0,D,0,D,0,D,0,D,8700,D,0,D,0,D,0,D,2,D,2,D,2,D,0,D,-8084,0,-9535,-3729,0,0,2286,2205,3060,3060,0,0,0,0,6000,2205,6000,1795,0,0,1621,1934,40217,40217,21417,20817,0,0,0,0,0,0,0,0,0,0,0,0,0
04815584,1,45,47,2022,2021,3,.00000,.00000,2,.12000,.12000,22,D,.04300,.05000,56000,D,24926,D,0,D,0,D,0,D,0,D,18000,D,0,D,0,D,0,D,3,D,3,D,3,D,0,D,-7226,2654,-9699,192,2751,2365,6301,6192,6191,6191,18000,18000,0,0,9000,6000,9000,0,0,0,0,0,80926,80926,55826,55026,0,0,11800,11800,0,0,58312,58312,0,0,0,0,0
04815614,1,72,70,2022,2021,2,.00000,.00000,2,.00000,-.1530,28,D,.00000,-.0153,650,D,0,D,0,D,0,D,0,D,0,D,0,D,5800,D,65,D,0,D,0,D,0,D,0,D,4340,D,-5025,-7,-6699,0,-10,0,0,0,50,50,0,0,0,0,1000,0,1000,0,0,0,99,0,650,650,0,0,0,0,0,0,16900,17500,0,0,0,0,0,0,0
04815634,1,37,0,2022,2021,2,.00000,.00000,1,.00000,.00000,33,D,.00000,.04000,17851,D,0,D,0,D,200,D,0,D,0,D,2772,D,0,D,0,D,0,D,0,D,0,D,1,D,0,D,-7547,-1018,-8818,-3733,-891,-1400,0,0,1366,1366,2772,2772,0,0,1000,0,1000,0,0,0,3618,3733,18051,18051,0,0,0,0,2000,2000,11200,11200,4851,4851,0,0,0,0,0
04815714,1,24,0,2022,2021,1,.00000,.00000,1,.25980,.25980,39,D,.03070,.03070,28600,D,0,D,0,D,0,D,0,D,0,D,10500,D,0,D,270,D,0,D,1,D,1,D,1,D,0,D,-6365,878,-7247,-3719,878,878,720,660,2188,2188,10500,10500,0,0,3000,660,3000,1340,0,0,2167,2379,26000,26000,7200,6600,0,0,0,0,0,0,28600,28600,0,0,0,0,0
04815714,2,51,0,2022,2021,0,.00000,.00000,1,.22000,.50000,39,D,.03070,.03070,78000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,9673,2395,9588,9928,2395,2395,10148,9928,5967,5967,0,0,0,0,0,0,0,0,0,0,0,0,78000,78000,65450,65050,0,0,0,0,0,0,78000,78000,0,0,0,0,0
04815714,3,48,0,2022,2021,0,.00000,.00000,1,.12000,.12000,39,D,.03070,.03070,31200,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,975,958,639,1985,958,958,2039,1985,2387,2387,0,0,0,0,0,0,0,0,0,0,0,0,31200,31200,18650,18250,0,0,0,0,0,0,31200,31200,0,0,0,0,0
04815754,1,24,25,2022,2021,0,.00000,.00000,2,.12000,.12000,45,D,.06150,.06250,50000,D,25000,D,0,D,0,D,0,D,0,D,0,D,2000,D,160,D,0,D,0,D,0,D,0,D,11808,D,3463,2755,2790,5481,2789,2653,5590,5481,5738,5738,0,0,0,0,0,0,0,0,0,0,0,0,75000,75000,49900,49100,0,0,0,0,0,0,75000,75000,0,0,0,0,0
