NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
05011064,1,58,0,2022,2021,2,.00000,.00000,1,.10000,.10000,34,D,.04990,.05250,28920,D,0,D,0,D,1367,D,0,D,0,D,0,D,1000,D,210,D,0,D,0,D,0,D,0,D,3064,D,-4051,744,-4051,89,744,557,1149,1089,2212,2212,0,0,0,0,1000,1000,1000,0,0,0,0,0,30287,30287,11487,10887,0,0,0,0,16125,19125,14162,11162,0,0,0,0,0
05011134,1,73,75,2022,2021,2,.00000,.00000,2,.00000,-.1530,33,D,.00000,-.0459,0,D,0,D,0,D,5280,D,43690,D,0,D,0,D,18825,D,240,D,0,D,0,D,0,D,0,D,0,D,-6600,0,-6600,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,5280,5280,0,0,0,0,2000,2000,16050,16050,0,0,0,0,0,0,0
05011244,1,44,47,2022,2021,0,.00000,.00000,2,.22000,.22000,36,D,.03790,.03790,107941,D,64659,D,0,D,0,D,0,D,0,D,0,D,2900,D,23,D,0,D,0,D,0,D,0,D,6288,D,22325,4892,22325,21886,4892,4833,22325,21886,13204,13204,0,0,0,0,0,0,0,0,0,0,0,0,165229,165229,140129,139329,0,0,3800,3800,0,0,161429,161429,0,0,0,0,0
05011314,1,82,0,2022,2021,0,.00000,.00000,1,.00000,.00000,17,D,.00000,.00000,0,D,0,D,0,D,0,D,7332,D,0,D,0,D,1800,D,147,D,0,D,0,D,0,D,0,D,960,D,-1400,0,-1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,2250,4350,4350,0,0,1350,1350,0,0,0
05011334,1,87,80,2022,2021,2,.00000,.00000,2,.00000,-.1530,06,D,.00000,-.0153,0,D,0,D,0,D,2014,D,40570,D,0,D,0,D,1400,D,4596,D,0,D,0,D,0,D,0,D,420,D,-6600,-148,-6600,0,-148,-612,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,3237,3237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05011364,1,75,70,2022,2021,2,.00000,.00000,2,.00000,-.1530,10,D,.00000,.00000,0,D,0,D,0,D,0,D,28379,D,0,D,0,D,1100,D,350,D,0,D,0,D,0,D,0,D,7128,D,-6600,0,-6600,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,3500,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05011394,1,43,0,2022,2021,0,.00000,.00000,1,.12000,.12000,33,D,.05850,.05970,34542,D,0,D,0,D,0,D,0,D,0,D,8100,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1040,1349,1040,2386,1349,1339,2440,2386,2642,2642,8100,8100,0,0,0,0,0,0,0,0,0,0,34542,34542,21992,21592,0,0,0,0,8000,8000,26542,26542,0,0,0,0,0
05011454,1,75,0,2022,2021,0,.00000,.00000,1,.22000,.50000,05,D,.09300,.09300,0,D,0,D,12600,D,0,D,0,D,0,D,0,D,1300,D,0,D,0,D,0,D,0,D,0,D,0,D,7793,3289,7793,8918,3289,2978,9148,8918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75158,75158,60908,60458,0,0,0,0,4803,5202,70355,69956,0,0,0,0,0
05011474,1,47,51,2022,2021,0,.00000,.00000,2,.35000,.35000,11,D,.05750,.05750,291947,D,192585,D,0,D,0,D,0,D,0,D,0,D,6000,D,0,D,0,D,0,D,0,D,0,D,20616,D,107959,26855,107959,106377,26855,26292,107959,106377,24733,25254,0,0,0,0,0,0,0,0,0,0,0,0,463916,463916,453916,453916,0,0,7400,7400,6000,7100,471132,470032,0,0,0,0,0
05011484,1,72,0,2022,2021,0,.00000,.00000,1,.00000,.00000,0,T,.00000,.00000,0,D,0,D,0,D,9600,D,28859,D,0,D,0,D,0,D,100,D,0,D,0,D,0,D,0,D,0,D,-1400,0,-1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05011504,1,26,0,2022,2021,0,.00000,.00000,1,.10000,.25300,14,D,.04950,.07700,20749,D,0,D,0,D,0,D,0,D,0,D,7200,D,0,D,31,D,0,D,0,D,0,D,0,D,0,D,-684,891,-684,780,891,857,820,780,1587,1587,7200,7200,0,0,0,0,0,0,0,0,104,0,20749,20749,8199,7799,0,0,2375,2425,0,0,18374,18324,0,0,0,0,0
05011514,1,80,72,2022,2021,0,.00000,.00000,2,.22000,.50000,10,D,.00000,.00000,0,D,0,D,0,D,103589,D,55558,D,0,D,0,D,5000,D,0,D,0,D,0,D,0,D,0,D,13380,D,15988,0,15988,18099,0,0,18560,18099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150813,150813,123013,122113,0,0,0,0,0,0,0,0,0,0,0,0,0
