QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TRNONCUX,TRNO_CUX,TRNONCUY,TRNO_CUY
20212,04422184,50,0,1,,H,,A
20212,04422184,50,1,1,20,E,120,D
20212,04422184,50,2,1,2,E,140,D
20212,04422184,50,3,1,94,E,150,D
20212,04422184,50,4,1,34,E,190,D
20212,04422864,69,0,1,,H,,A
20212,04422864,69,1,1,1573,E,120,D
20212,04422864,69,2,1,6503,U,130,D
20212,04422864,69,3,1,211,E,140,D
20212,04422864,69,4,1,8098,E,150,D
20212,04422864,69,5,1,476,E,160,D
20212,04422864,69,6,1,2768,E,190,D
20212,04422864,69,7,1,2007,E,210,D
20212,04422864,69,8,1,1992,E,220,D
20212,04425174,23,0,1,,H,,A
20212,04425174,23,1,1,1000,E,130,D
20212,04428644,19,0,1,,H,,A
20212,04428644,19,1,1,119,E,100,D
20212,04428644,19,2,1,31,E,110,D
20212,04462824,36,0,1,,H,,A
20212,04462824,36,1,1,28,E,100,D
20212,04462824,36,2,1,11,E,110,D
20212,04462824,36,3,1,64,E,130,D
20212,04462824,36,4,1,18,E,210,D
20212,04462824,36,5,1,19,E,220,D
20212,04464524,58,0,1,,H,,A
20212,04464524,58,1,1,33,E,120,D
20212,04464524,58,2,1,161,E,130,D
20212,04464524,58,3,1,5,E,140,D
20212,04464524,58,4,1,166,E,150,D
20212,04464524,58,5,1,8,E,160,D
20212,04464524,58,6,1,14,E,170,D
20212,04464524,58,7,1,13,E,190,D
20212,04464604,45,0,1,,H,,A
20212,04464604,45,1,1,115,E,210,D
20212,04464604,45,2,1,125,E,220,D
20212,04467634,15,0,1,,H,,A
20212,04467634,15,1,1,31,E,120,D
20212,04467634,15,2,1,8,E,140,D
20212,04467634,15,3,1,174,E,150,D
20212,04467634,15,4,1,9,E,160,D
20212,04467634,15,5,1,14,E,170,D
20212,04467634,15,6,1,14,E,190,D
20212,04467804,29,0,1,,H,,A
20212,04467804,29,1,1,75,E,120,D
20212,04467804,29,2,1,13,E,140,D
20212,04467804,29,3,1,422,E,150,D
20212,04467804,29,4,1,22,E,160,D
20212,04467804,29,5,1,35,E,170,D
20212,04467804,29,6,1,33,E,190,D
20212,04469724,22,0,1,,H,,A
20212,04469724,22,1,1,7,E,120,D
20212,04469724,22,2,1,24,E,150,D
20212,04469724,22,3,1,1,E,160,D
20212,04469724,22,4,1,8,E,190,D
20212,04503304,39,0,1,,H,,A
20212,04503304,39,1,1,41,E,120,D
20212,04503304,39,2,1,5,E,140,D
20212,04503304,39,3,1,200,E,150,D
20212,04503304,39,4,1,11,E,160,D
20212,04503304,39,5,1,68,E,190,D
20212,04512654,31,0,1,,H,,A
20212,04512654,31,1,1,445,G,100,D
20212,04512654,31,2,1,127,G,110,D
20212,04512654,31,3,1,183,G,120,D
20212,04512654,31,4,1,1011,G,130,D
20212,04512654,31,5,1,33,G,140,D
20212,04512654,31,6,1,924,G,150,D
20212,04512654,31,7,1,338,G,190,D
20212,04512654,31,8,1,295,G,210,D
20212,04512654,31,9,1,300,G,220,D
20212,04513304,27,0,1,,H,,A
20212,04513304,27,1,1,34,E,120,D
20212,04513304,27,2,1,5,E,140,D
20212,04513304,27,3,1,167,E,150,D
20212,04513304,27,4,1,122,E,160,D
20212,04513304,27,5,1,38,E,170,D
20212,04513304,27,6,1,78,E,180,D
20212,04513304,27,7,1,56,E,190,D
20212,04513824,23,0,1,,H,,A
20212,04513824,23,1,1,133,E,120,D
20212,04513824,23,2,1,846,E,130,D
20212,04513824,23,3,1,27,E,140,D
20212,04513824,23,4,1,918,E,150,D
20212,04513824,23,5,1,414,E,160,D
20212,04513824,23,6,1,30,E,170,D
20212,04513824,23,7,1,477,E,180,D
20212,04513824,23,8,1,155,E,190,D
20212,04547043,24,0,1,,H,,A
20212,04547043,24,1,1,15,E,120,D
20212,04547043,24,2,1,5,E,140,D
20212,04547043,24,3,1,106,E,150,D
20212,04547043,24,4,1,48,E,160,D
20212,04547043,24,5,1,3,E,170,D
20212,04547043,24,6,1,55,E,180,D
20212,04547043,24,7,1,18,E,190,D
20212,04549113,38,0,1,,H,,A
20212,04549113,38,1,1,18,E,120,D
20212,04549113,38,2,1,3,E,140,D
20212,04549113,38,3,1,130,E,150,D
20212,04549113,38,4,1,57,E,160,D
20212,04549113,38,5,1,4,E,170,D
20212,04549113,38,6,1,66,E,180,D
20212,04549113,38,7,1,21,E,190,D
20212,04549113,39,0,1,,H,,A
20212,04549113,39,1,1,1000,E,130,D
20212,04549203,45,0,1,,H,,A
20212,04549203,45,1,1,43,E,120,D
20212,04549203,45,2,1,6,E,140,D
20212,04549203,45,3,1,184,E,150,D
20212,04549203,45,4,1,136,E,160,D
20212,04549203,45,5,1,43,E,170,D
20212,04549203,45,6,1,87,E,180,D
20212,04549203,45,7,1,63,E,190,D
20212,04549203,45,8,1,61,E,210,D
20212,04549203,45,9,1,77,E,220,D
20212,04552303,37,0,1,,H,,A
20212,04552303,37,1,1,218,E,100,D
20212,04552303,37,2,1,62,E,110,D
20212,04552303,37,3,1,89,E,120,D
20212,04552303,37,4,1,499,E,130,D
20212,04552303,37,5,1,14,E,140,D
20212,04552303,37,6,1,453,E,150,D
