QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,PRPYCELL,PRPY_ELL,PRPYCLX,PRPYCLX_
20212,04420324,30,0,1,2,D,,A,2,D,,A
20212,04420374,52,0,1,2,D,,A,2,D,,A
20212,04420404,25,0,1,2,D,,A,2,D,,A
20212,04420424,41,0,1,2,D,,A,2,D,,A
20212,04420434,34,0,1,2,D,,A,2,D,,A
20212,04420444,34,0,1,2,D,,A,2,D,,A
20212,04420484,21,0,1,2,D,,A,2,D,,A
20212,04420494,35,0,1,2,D,,A,2,D,,A
20212,04420504,10,0,1,2,D,,A,2,D,,A
20212,04420514,25,0,1,2,D,,A,2,D,,A
20212,04420544,24,0,1,2,D,,A,2,D,,A
20212,04420564,18,0,1,2,D,,A,2,D,,A
20212,04420574,19,0,1,2,D,,A,2,D,,A
20212,04420594,23,0,1,2,D,,A,2,D,,A
20212,04420604,19,0,1,2,D,,A,2,D,,A
20212,04420624,32,0,1,2,D,,A,2,D,,A
20212,04420644,23,0,1,2,D,,A,2,D,,A
20212,04420674,23,0,1,2,D,,A,2,D,,A
20212,04420704,49,0,1,2,D,,A,2,D,,A
20212,04420724,30,0,1,2,D,,A,2,D,,A
20212,04420744,17,0,1,2,D,,A,2,D,,A
20212,04420754,39,0,1,2,D,,A,2,D,,A
20212,04420814,20,0,1,2,D,,A,2,D,,A
20212,04420834,37,0,1,2,D,,A,2,D,,A
20212,04420854,26,0,1,2,D,,A,2,D,,A
20212,04420914,29,0,1,2,D,,A,2,D,,A
20212,04420984,12,0,1,2,D,,A,2,D,,A
20212,04421004,30,0,1,2,D,,A,2,D,,A
20212,04421024,23,0,1,2,D,,A,2,D,,A
20212,04421044,46,0,1,2,D,,A,2,D,,A
20212,04421084,19,0,1,2,D,,A,2,D,,A
20212,04421094,46,0,1,2,D,,A,2,D,,A
20212,04421114,30,0,1,2,D,,A,2,D,,A
20212,04421124,20,0,1,2,D,,A,2,D,,A
20212,04421134,29,0,1,2,D,,A,2,D,,A
20212,04421194,55,0,1,2,D,,A,2,D,,A
20212,04421214,43,0,1,2,D,,A,2,D,,A
20212,04421234,71,0,1,2,D,,A,2,D,,A
20212,04421264,14,0,1,2,D,,A,2,D,,A
20212,04421284,11,0,1,2,D,,A,2,D,,A
20212,04421304,25,0,1,2,D,,A,2,D,,A
20212,04421344,27,0,1,2,D,,A,2,D,,A
20212,04421354,38,0,1,2,D,,A,2,D,,A
20212,04421374,19,0,1,2,D,,A,2,D,,A
20212,04421384,9,0,1,2,D,,A,2,D,,A
