QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_
20212,04420374,5,0,2,190,D,01,D,113,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420644,4,0,1,220,D,02,D,84,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,15,0,1,200,D,13,D,133,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421124,3,0,1,130,D,13,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421344,3,0,2,200,D,01,D,383,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,5,0,1,190,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,6,0,2,190,D,01,D,490,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,7,0,2,190,D,01,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,8,0,2,110,D,01,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421674,11,0,1,200,D,03,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,6,0,2,190,D,01,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421914,5,0,1,200,D,02,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,8,0,1,110,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,11,0,1,200,D,02,D,109,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422364,4,0,1,190,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
