QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20212,04421634,3,0,1,130,D,01,D,50,D,,A,,A
20212,04421644,2,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04421644,3,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04421664,6,0,1,170,D,13,D,500,D,,A,,A
20212,04421664,7,0,1,170,D,03,D,120,D,,A,,A
20212,04421664,8,0,1,160,D,03,D,50,D,,A,,A
20212,04421664,9,0,1,150,D,03,D,125,D,,A,,A
20212,04421664,10,0,1,800,D,03,D,2800,D,2,D,1,D
20212,04421674,5,0,1,150,D,13,D,700,D,,A,,A
20212,04421674,6,0,1,800,D,01,D,3600,D,2,D,1,D
20212,04421674,7,0,1,800,D,01,D,7200,D,2,D,1,D
20212,04421794,6,0,1,800,D,03,D,2400,D,2,D,1,D
20212,04421804,5,0,1,100,D,13,D,200,D,,A,,A
20212,04421804,6,0,1,150,D,13,D,250,D,,A,,A
20212,04421804,7,0,1,800,D,03,D,4200,D,2,D,1,D
20212,04421834,4,0,1,800,D,02,D,2400,D,2,D,1,D
20212,04421864,3,0,1,160,D,02,D,40,D,,A,,A
20212,04421864,4,0,1,800,D,03,D,4200,D,2,D,3,D
20212,04421874,3,0,1,170,D,02,D,300,D,,A,,A
20212,04421874,4,0,1,150,D,13,D,400,D,,A,,A
20212,04421874,5,0,1,800,D,03,D,4000,D,2,D,2,D
20212,04421914,3,0,1,160,D,01,D,1000,D,,A,,A
20212,04421934,3,0,1,160,D,03,D,110,D,,A,,A
20212,04421934,4,0,1,800,D,01,D,400,D,2,D,1,D
20212,04421934,5,0,1,800,D,01,D,400,D,2,D,1,D
20212,04421944,2,0,1,160,D,02,D,1000,D,,A,,A
20212,04421944,3,0,1,800,D,01,D,560,D,1,D,3,D
20212,04421944,4,0,1,800,D,03,D,300,D,1,D,3,D
20212,04421954,5,0,1,800,D,03,D,2200,D,2,D,3,D
20212,04421954,6,0,1,800,D,01,D,900,D,2,D,3,D
20212,04421974,2,0,1,800,D,03,D,2800,D,2,D,1,D
20212,04421984,3,0,1,140,D,13,D,325,D,,A,,A
20212,04421984,4,0,1,160,D,13,D,325,D,,A,,A
20212,04422014,2,0,1,160,D,02,D,2000,D,,A,,A
20212,04422014,3,0,1,800,D,03,D,2400,D,2,D,3,D
20212,04422024,3,0,1,170,D,13,D,100,D,,A,,A
20212,04422024,4,0,1,800,D,03,D,2800,D,2,D,2,D
20212,04422034,2,0,1,800,D,03,D,2800,D,2,D,2,D
20212,04422044,3,0,1,170,D,13,D,5,D,,A,,A
20212,04422044,4,0,1,800,D,01,D,2400,D,2,D,1,D
20212,04422044,5,0,1,800,D,01,D,5600,D,2,D,3,D
20212,04422064,4,0,1,170,D,01,D,2000,D,,A,,A
20212,04422064,5,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04422094,2,0,1,150,D,13,D,100,D,,A,,A
20212,04422094,3,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04422094,4,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04422134,2,0,1,800,D,01,D,600,D,2,D,1,D
20212,04422134,3,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04422164,2,0,1,800,D,01,D,2400,D,1,D,1,D
20212,04422164,3,0,1,800,D,03,D,5600,D,1,D,1,D
20212,04422184,6,0,1,100,D,02,D,25,D,,A,,A
20212,04422184,7,0,1,170,D,02,D,25,D,,A,,A
20212,04422184,8,0,1,150,D,02,D,50,D,,A,,A
20212,04422184,9,0,1,150,D,03,D,50,D,,A,,A
20212,04422184,10,0,1,800,D,03,D,1400,D,2,D,2,D
20212,04422264,6,0,1,150,D,13,D,12,D,,A,,A
20212,04422264,7,0,1,800,D,02,D,7000,D,2,D,2,D
20212,04422274,3,0,1,800,D,03,D,1400,D,2,D,2,D
20212,04422324,7,0,1,800,D,01,D,400,D,2,D,1,D
20212,04422364,3,0,1,150,D,13,D,400,D,,A,,A
20212,04422414,2,0,1,800,D,02,D,600,D,2,D,1,D
20212,04422414,3,0,1,800,D,03,D,1600,D,2,D,1,D
20212,04422434,2,0,1,160,D,03,D,150,D,,A,,A
20212,04422434,3,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04422444,5,0,1,150,D,13,D,100,D,,A,,A
20212,04422444,6,0,1,160,D,13,D,25,D,,A,,A
20212,04422484,2,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04422504,4,0,1,150,D,13,D,10,D,,A,,A
20212,04422504,5,0,1,800,D,03,D,2800,D,2,D,3,D
20212,04422504,6,0,2,160,D,01,D,15,D,,A,,A
20212,04422604,3,0,1,800,D,01,D,5400,D,2,D,1,D
20212,04422604,4,0,1,800,D,03,D,8400,D,2,D,1,D
20212,04422634,2,0,1,800,D,03,D,600,D,2,D,1,D
20212,04422654,3,0,1,800,D,01,D,2800,D,2,D,3,D
20212,04422734,2,0,1,800,D,01,D,2400,D,2,D,3,D
20212,04422744,2,0,1,800,D,03,D,2800,D,2,D,3,D
20212,04422804,6,0,1,170,D,02,D,100,D,,A,,A
20212,04422804,7,0,1,140,D,13,D,70,D,,A,,A
20212,04422804,8,0,1,160,D,13,D,120,D,,A,,A
20212,04422804,9,0,1,800,D,01,D,1200,D,2,D,3,D
20212,04422804,10,0,1,800,D,03,D,2800,D,2,D,3,D
20212,04422834,3,0,1,800,D,02,D,600,D,2,D,1,D
20212,04422834,4,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04422844,4,0,1,160,D,03,D,249,D,,A,,A
20212,04422844,5,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04422844,6,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04422844,7,0,2,150,D,01,D,50,D,,A,,A
20212,04422864,7,0,1,170,D,13,D,200,D,,A,,A
20212,04422884,2,0,1,150,D,13,D,20,D,,A,,A
20212,04422884,3,0,1,160,D,03,D,90,D,,A,,A
20212,04422884,4,0,1,160,D,03,D,30,D,,A,,A
20212,04422884,5,0,1,160,D,03,D,40,D,,A,,A
20212,04422884,6,0,1,160,D,03,D,40,D,,A,,A
20212,04422884,7,0,1,800,D,01,D,600,D,2,D,2,D
20212,04422884,8,0,1,800,D,03,D,1400,D,2,D,2,D
20212,04422894,2,0,1,170,D,03,D,50,D,,A,,A
20212,04422894,3,0,1,800,D,01,D,1800,D,2,D,1,D
20212,04422894,4,0,1,800,D,03,D,4200,D,2,D,1,D
20212,04423024,2,0,1,150,D,13,D,50,D,,A,,A
20212,04423024,3,0,1,800,D,03,D,2800,D,2,D,1,D
20212,04423044,4,0,1,170,D,01,D,1000,D,,A,,A
20212,04423044,5,0,1,170,D,01,D,1700,D,,A,,A
20212,04423044,6,0,1,800,D,01,D,1200,D,2,D,1,D
20212,04423044,7,0,1,800,D,03,D,2800,D,2,D,1,D
20212,04423094,3,0,1,170,D,01,D,100,D,,A,,A
20212,04423094,4,0,1,170,D,02,D,100,D,,A,,A
20212,04423094,5,0,1,150,D,13,D,150,D,,A,,A
20212,04423094,6,0,1,800,D,03,D,4200,D,2,D,1,D
20212,04423114,2,0,1,800,D,02,D,600,D,2,D,1,D
20212,04423144,2,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04423204,2,0,1,800,D,01,D,600,D,1,D,1,D
20212,04423204,3,0,1,800,D,01,D,600,D,1,D,1,D
20212,04423274,2,0,1,150,D,13,D,400,D,,A,,A
20212,04423274,3,0,1,160,D,13,D,50,D,,A,,A
20212,04423274,4,0,1,800,D,03,D,4900,D,1,D,2,D
20212,04423274,5,0,1,800,D,03,D,4900,D,3,D,2,D
20212,04423284,3,0,1,170,D,03,D,50,D,,A,,A
20212,04423284,4,0,1,110,D,13,D,214,F,,A,,A
20212,04423304,2,0,1,150,D,13,D,200,D,,A,,A
20212,04423304,3,0,1,800,D,02,D,3500,D,2,D,3,D
20212,04423344,5,0,1,160,D,13,D,30,D,,A,,A
20212,04423354,3,0,1,160,D,01,D,40,D,,A,,A
20212,04423354,4,0,1,800,D,03,D,2800,D,2,D,2,D
20212,04423424,5,0,1,170,D,01,D,150,D,,A,,A
20212,04423424,6,0,1,170,D,02,D,100,D,,A,,A
20212,04423424,7,0,1,170,D,03,D,50,D,,A,,A
20212,04423424,8,0,1,160,D,02,D,50,D,,A,,A
20212,04423424,9,0,1,800,D,02,D,1200,D,2,D,1,D
20212,04423434,4,0,1,800,D,03,D,4000,D,2,D,1,D
20212,04423434,5,0,1,800,D,03,D,2800,D,1,D,2,D
20212,04423454,2,0,1,800,D,01,D,5600,D,2,D,3,D
20212,04423464,7,0,1,170,D,13,D,100,D,,A,,A
20212,04423464,8,0,1,150,D,13,D,100,D,,A,,A
20212,04423464,9,0,1,800,D,01,D,4800,D,2,D,2,D
20212,04423474,4,0,1,160,D,13,D,30,D,,A,,A
20212,04423474,5,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04423474,6,0,1,800,D,01,D,600,D,2,D,1,D
20212,04423554,2,0,1,170,D,03,D,100,D,,A,,A
20212,04423554,3,0,1,800,D,03,D,5600,D,2,D,3,D
20212,04423624,2,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04423664,2,0,1,170,D,13,D,250,D,,A,,A
20212,04423664,3,0,1,800,D,03,D,2800,D,2,D,3,D
20212,04423674,3,0,1,150,D,01,D,41,D,,A,,A
20212,04423674,4,0,1,160,D,02,D,1920,D,,A,,A
20212,04423744,3,0,1,160,D,03,D,100,D,,A,,A
20212,04423744,4,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04423764,2,0,1,160,D,13,D,10,D,,A,,A
20212,04423764,3,0,1,800,D,03,D,2800,D,1,D,2,D
20212,04423824,2,0,1,800,D,03,D,5600,D,2,D,2,D
20212,04423884,3,0,1,170,D,03,D,300,D,,A,,A
20212,04423884,4,0,1,170,D,02,D,100,D,,A,,A
20212,04423884,5,0,1,150,D,13,D,1000,D,,A,,A
20212,04423884,6,0,1,160,D,13,D,250,D,,A,,A
20212,04423884,7,0,1,160,D,13,D,300,D,,A,,A
20212,04423894,3,0,1,160,D,13,D,25,D,,A,,A
20212,04423894,4,0,1,800,D,02,D,2800,D,2,D,1,D
20212,04423904,5,0,1,150,D,13,D,200,D,,A,,A
