QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOD,PROP0NOD,OWNYD,OWNYD_,DISPMTHD,DISP_THD,DISPX,DISPX_,DISPEXPX,DISP_XPX,DISPMO,DISPMO_,DISPYR,DISPYR_
20212,04424914,12,0,1,01,D,200,D,1,D,325000,D,12000,D,03,D,2021,D
20212,04428294,12,0,1,02,D,200,D,1,D,,A,,A,02,D,2020,D
20212,04430294,24,0,1,02,D,400,D,1,D,50000,D,6000,D,01,D,2021,D
20212,04431314,28,0,1,03,D,300,D,1,D,138000,T,5172,D,03,D,2021,D
20212,04505324,30,0,1,02,D,300,D,1,D,,A,,A,04,D,2020,D
20212,04514164,49,0,1,02,D,200,D,1,D,720000,T,30000,D,04,D,2021,D
20212,04557013,31,0,1,02,D,200,D,1,D,525000,D,23000,D,04,D,2021,D
20212,04563313,17,0,1,01,D,100,D,1,D,100000,D,0,D,03,D,2021,D
20212,04576593,14,0,1,01,D,200,D,1,D,,A,,A,05,D,2020,D
20212,04578013,32,0,1,04,D,300,D,3,D,,A,,A,03,D,2021,D
20212,04579053,41,0,1,01,D,200,D,1,D,343000,D,500,D,05,D,2021,D
20212,04618473,37,0,1,02,D,200,D,1,D,495000,D,2745,D,03,D,2021,D
20212,04656922,40,0,1,03,D,200,D,3,D,,A,,A,03,D,2021,D
20212,04660292,22,0,1,02,D,200,D,1,D,,A,,A,02,D,2020,D
20212,04679842,17,0,1,01,D,300,D,2,D,,A,,A,03,D,2021,D
20212,04682262,29,0,1,01,D,200,D,3,D,,A,,A,05,D,2021,D
20212,04683842,31,0,1,03,D,200,D,3,D,,A,,A,03,D,2021,D
20212,04687302,10,0,1,01,D,400,D,3,D,,A,,A,04,D,2021,D
20212,04689782,15,0,1,02,D,400,D,1,D,50000,F,6000,F,03,D,2021,D
20212,04735971,14,0,1,02,D,200,D,1,D,410000,D,20000,D,03,D,2021,D
20212,04742121,31,0,1,02,D,400,D,1,D,200000,D,390,D,01,D,2021,D
20212,04743041,16,0,1,01,D,200,D,1,D,90000,D,1200,D,03,D,2021,D
20212,04760454,24,0,1,01,D,200,D,1,D,131500,D,12000,D,04,D,2021,D
20212,04763481,27,0,1,02,D,200,D,1,D,,A,,A,04,D,2020,D
20212,04765271,18,0,1,02,D,400,D,1,D,25000,D,575,D,02,D,2021,D
20213,04560674,20,0,1,02,D,300,D,2,D,,A,,A,05,D,2021,D
20213,04567164,35,0,1,02,D,300,D,1,D,138000,T,,A,06,D,2021,D
20213,04567314,22,0,1,02,D,300,D,,C,,A,,A,07,D,2021,D
20213,04572454,48,0,1,04,D,300,D,3,D,,A,,A,08,D,2021,D
20213,04573294,20,0,1,03,D,200,D,1,D,175000,D,0,D,06,D,2021,D
20213,04573294,21,0,1,04,D,200,D,1,D,720000,T,0,D,06,D,2021,D
20213,04619523,17,0,1,02,D,400,D,3,D,,A,,A,05,D,2021,D
20213,04663103,12,0,1,02,D,200,D,1,D,255000,D,2000,D,06,D,2021,D
20213,04683133,20,0,1,03,D,300,D,1,D,138000,T,0,D,08,D,2021,D
20213,04683803,16,0,1,01,D,300,D,3,D,,A,,A,08,D,2021,D
20213,04738892,28,0,1,03,D,300,D,,C,,A,,A,05,D,2021,D
20213,04747722,24,0,1,03,D,400,D,3,D,,A,,A,08,D,2021,D
20213,04748992,28,0,1,02,D,300,D,3,D,,A,,A,07,D,2021,D
20213,04763922,21,0,1,02,D,200,D,1,D,285000,D,0,D,05,D,2021,D
20213,04766672,38,0,1,03,D,400,D,3,D,,A,,A,06,D,2021,D
20213,04822571,18,0,1,02,D,200,D,1,D,720000,T,,A,04,D,2021,D
20213,04828331,19,0,1,04,D,400,D,1,D,510800,T,18900,D,06,D,2021,D
20213,04831961,23,0,1,04,D,400,D,1,D,510800,T,,A,06,D,2021,D
20213,04831961,24,0,1,07,D,400,D,1,D,,A,,A,06,D,2021,D
20213,04832351,28,0,1,02,D,200,D,1,D,315000,D,13000,D,06,D,2021,D
20213,04832502,20,0,1,02,D,200,D,1,D,168000,D,2500,D,06,D,2021,D
20213,04834391,10,0,1,02,D,400,D,1,D,510800,T,18900,F,06,D,2021,D
20213,04840694,32,0,1,03,D,200,D,1,D,410000,D,2500,D,06,D,2021,D
20213,04846951,8,0,1,01,D,200,D,1,D,,A,,A,07,D,2021,D
20213,04849564,26,0,1,01,D,200,D,1,D,605000,D,40000,D,08,D,2021,D
20213,04849942,17,0,1,02,D,200,D,1,D,444100,D,50000,D,08,D,2021,D
20214,04611674,40,0,1,02,D,300,D,1,D,150750,T,4300,D,08,D,2021,D
20214,04620914,44,0,2,02,D,300,D,1,D,150750,V,4300,F,07,D,2021,D
20214,04656534,17,0,1,01,D,200,D,1,D,248000,D,65000,F,10,D,2021,D
20214,04656644,14,0,1,02,D,400,D,2,D,,A,,A,10,D,2021,D
20214,04658634,36,0,1,02,D,400,D,3,D,,A,,A,09,D,2021,D
20214,04742973,21,0,1,02,D,400,D,1,D,307500,T,19000,D,08,D,2021,D
20214,04744803,51,0,1,02,D,200,D,1,D,255000,D,25000,D,08,D,2021,D
20214,04756423,33,0,1,02,D,200,D,1,D,182000,D,28000,F,09,D,2021,D
20214,04761183,19,0,1,02,D,300,D,3,D,,A,,A,08,D,2021,D
20214,04762704,34,0,1,01,D,200,D,1,D,339000,D,28000,D,09,D,2021,D
20214,04763963,19,0,1,02,D,300,D,3,D,,A,,A,08,D,2021,D
20214,04766673,54,0,1,02,D,400,D,2,D,,A,,A,09,D,2021,D
20214,04819282,9,0,1,01,D,200,D,1,D,1262500,T,65000,D,09,D,2021,D
20214,04827712,16,0,2,02,D,200,D,1,D,242000,D,8000,D,08,D,2021,D
20214,04836042,39,0,1,02,D,300,D,3,D,,A,,A,09,D,2021,D
20214,04895341,26,0,1,02,D,300,D,1,D,150750,T,5000,D,09,D,2021,D
20214,04898781,21,0,1,02,D,200,D,1,D,1262500,T,45000,D,09,D,2021,D
20214,04904611,20,0,1,02,D,300,D,1,D,150750,T,42500,D,09,D,2021,D
20214,04910831,19,0,1,02,D,200,D,1,D,1262500,T,60000,D,10,D,2021,D
20214,04912401,21,0,1,02,D,300,D,1,D,150750,T,3000,D,09,D,2021,D
20214,04917762,17,0,1,02,D,200,D,1,D,529000,D,65000,F,08,D,2021,D
20214,04918073,20,0,1,02,D,200,D,1,D,600000,D,50000,D,09,D,2021,D
20214,04921734,19,0,1,02,D,200,D,1,D,500000,D,10000,F,09,D,2021,D
20214,04921734,20,0,1,03,D,400,D,1,D,307500,T,19000,F,09,D,2021,D
20214,04922911,21,0,1,02,D,200,D,1,D,355000,D,10000,D,11,D,2021,D
20214,04923824,21,0,1,02,D,200,D,1,D,210000,D,8000,F,11,D,2021,D
20221,04742444,19,0,2,01,D,200,D,1,D,300000,D,0,D,10,D,2021,D
