QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20212,04420324,16,0,5,01,D,100,D,,A,3,D,,B,1975,D,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420374,30,0,5,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,10500,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420404,11,0,1,01,D,100,D,,A,3,D,03,F,2010,D,,A,,A,,A,6900,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420424,23,0,5,01,D,300,D,,A,3,D,,B,2018,D,,A,,A,,A,3500,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20212,04420434,20,0,5,01,D,100,D,,A,1,D,,B,2018,D,,A,,A,,A,2700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420444,16,0,5,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420484,13,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420494,18,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,7400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420514,16,0,5,01,D,100,D,,A,3,D,,B,1998,D,,A,,A,,A,590,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20212,04420544,15,0,5,01,D,100,D,,A,1,D,,B,1990,D,,A,,A,,A,2000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420564,10,0,5,01,D,100,D,,A,3,D,,B,1977,D,,A,,A,,A,5000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420574,10,0,5,01,D,200,D,,A,3,D,07,D,2020,D,,A,,A,,A,850,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,A
20212,04420674,11,0,5,01,D,100,D,,A,3,D,07,D,2020,D,470000,D,,C,14100,D,4000,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20212,04420704,29,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,5400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20212,04420724,16,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,19009,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
