QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20212,04420494,36,0,1,420,D,03,D,130,D,,A,,A,,A,,A
20212,04420574,20,0,1,420,D,01,D,46,D,,A,,A,,A,,A
20212,04420594,25,0,1,420,D,03,D,200,D,,A,,A,,A,,A
20212,04420644,26,0,1,420,D,03,D,280,D,,A,,A,,A,,A
20212,04420704,53,0,1,400,D,03,D,35,D,,A,,A,,A,,A
20212,04420754,40,0,1,410,D,01,D,7,D,,A,,A,,A,,A
20212,04420754,41,0,1,420,D,01,D,70,D,,A,,A,,A,,A
20212,04420854,27,0,1,420,D,01,D,25,D,,A,,A,,A,,A
20212,04421024,25,0,1,400,D,03,D,80,D,,A,,A,,A,,A
20212,04421044,47,0,1,430,D,03,D,,H,410,D,415,D,,A,,A
20212,04421044,47,1,1,410,D,03,D,11,E,,A,,A,,A,,A
20212,04421044,47,2,1,420,D,03,D,268,E,,A,,A,,A,,A
20212,04421534,36,0,1,420,D,02,D,100,D,,A,,A,,A,,A
20212,04421574,52,0,1,420,D,03,D,140,D,,A,,A,,A,,A
20212,04421614,28,0,1,400,D,03,D,87,F,,A,,A,,A,,A
20212,04421614,29,0,1,420,D,03,D,25,F,,A,,A,,A,,A
20212,04421664,67,0,1,400,D,01,D,80,D,,A,,A,,A,,A
20212,04421794,23,0,1,410,D,03,D,26,D,,A,,A,,A,,A
20212,04421914,44,0,1,410,D,02,D,18,D,,A,,A,,A,,A
20212,04421934,46,0,1,420,D,02,D,463,D,,A,,A,,A,,A
20212,04421974,17,0,1,430,D,02,D,,H,410,D,415,D,,A,,A
20212,04421974,17,1,1,410,D,02,D,8,E,,A,,A,,A,,A
20212,04421974,17,2,1,420,D,02,D,86,E,,A,,A,,A,,A
20212,04421984,39,0,1,400,D,01,D,50,D,,A,,A,,A,,A
20212,04421984,40,0,2,400,D,01,D,60,D,,A,,A,,A,,A
20212,04422064,27,0,1,400,D,01,D,17,D,,A,,A,,A,,A
20212,04422264,46,0,1,405,D,02,D,125,F,,A,,A,,A,,A
20212,04422314,36,0,1,410,D,01,D,45,D,,A,,A,,A,,A
20212,04422314,37,0,1,410,D,03,D,45,D,,A,,A,,A,,A
20212,04422314,38,0,2,410,D,01,D,35,D,,A,,A,,A,,A
20212,04422364,36,0,1,405,D,02,D,250,D,,A,,A,,A,,A
20212,04422604,35,0,1,420,D,01,D,485,D,,A,,A,,A,,A
20212,04422804,52,0,1,410,D,03,D,175,D,,A,,A,,A,,A
20212,04422844,65,0,1,420,D,03,D,135,D,,A,,A,,A,,A
20212,04422864,76,0,1,420,D,02,D,309,D,,A,,A,,A,,A
20212,04422864,77,0,1,420,D,02,D,157,D,,A,,A,,A,,A
20212,04422864,78,0,1,410,D,02,D,65,D,,A,,A,,A,,A
20212,04423284,40,0,1,420,D,01,D,58,D,,A,,A,,A,,A
20212,04423344,29,0,1,400,D,03,D,114,D,,A,,A,,A,,A
20212,04423364,17,0,1,400,D,01,D,25,D,,A,,A,,A,,A
20212,04423364,18,0,1,405,D,01,D,50,D,,A,,A,,A,,A
20212,04423424,48,0,1,420,D,02,D,505,D,,A,,A,,A,,A
20212,04423454,34,0,2,420,D,01,D,93,D,,A,,A,,A,,A
20212,04423474,41,0,1,400,D,03,D,35,D,,A,,A,,A,,A
20212,04423934,20,0,1,420,D,02,D,84,D,,A,,A,,A,,A
20212,04424104,42,0,1,410,D,03,D,110,D,,A,,A,,A,,A
20212,04424214,14,0,1,420,D,01,D,128,D,,A,,A,,A,,A
20212,04424364,28,0,1,420,D,03,D,300,D,,A,,A,,A,,A
20212,04424544,37,0,1,410,D,01,D,35,D,,A,,A,,A,,A
20212,04424574,31,0,1,400,D,02,D,25,D,,A,,A,,A,,A
20212,04424694,20,0,1,420,D,01,D,62,D,,A,,A,,A,,A
20212,04424754,35,0,1,410,D,03,D,5,D,,A,,A,,A,,A
20212,04424754,36,0,1,405,D,03,D,1100,D,,A,,A,,A,,A
20212,04425034,45,0,1,420,D,03,D,125,D,,A,,A,,A,,A
20212,04425044,26,0,1,405,D,01,D,100,D,,A,,A,,A,,A
20212,04425154,45,0,1,420,D,02,D,84,D,,A,,A,,A,,A
20212,04425184,18,0,1,420,D,02,D,38,D,,A,,A,,A,,A
20212,04425414,51,0,1,420,D,03,D,203,D,,A,,A,,A,,A
20212,04425514,34,0,2,420,D,01,D,151,F,,A,,A,,A,,A
20212,04425594,24,0,1,410,D,01,D,60,D,,A,,A,,A,,A
20212,04425634,34,0,1,420,D,01,D,133,D,,A,,A,,A,,A
20212,04425644,45,0,1,400,D,01,D,20,D,,A,,A,,A,,A
20212,04425944,30,0,1,430,D,02,D,,H,415,D,425,D,405,D,410,D
20212,04425944,30,1,1,420,D,02,D,30,E,,A,,A,,A,,A
20212,04425944,30,2,1,405,D,02,D,72,E,,A,,A,,A,,A
20212,04425944,30,3,1,410,D,02,D,8,E,,A,,A,,A,,A
20212,04426104,50,0,1,400,D,03,D,60,D,,A,,A,,A,,A
20212,04426104,51,0,1,420,D,03,D,160,D,,A,,A,,A,,A
20212,04426274,50,0,1,410,D,03,D,32,D,,A,,A,,A,,A
20212,04426274,51,0,1,420,D,03,D,437,D,,A,,A,,A,,A
20212,04426274,52,0,1,405,D,01,D,265,D,,A,,A,,A,,A
20212,04426344,47,0,1,410,D,03,D,20,D,,A,,A,,A,,A
20212,04426344,48,0,1,420,D,03,D,76,D,,A,,A,,A,,A
20212,04426374,45,0,1,400,D,03,D,30,D,,A,,A,,A,,A
20212,04426404,32,0,1,400,D,02,D,24,D,,A,,A,,A,,A
20212,04426404,33,0,1,420,D,02,D,350,D,,A,,A,,A,,A
20212,04427164,58,0,1,420,D,02,D,65,D,,A,,A,,A,,A
20212,04427374,22,0,1,405,D,02,D,107,D,,A,,A,,A,,A
20212,04427514,22,0,1,405,D,02,D,350,D,,A,,A,,A,,A
20212,04427514,23,0,1,420,D,02,D,20,D,,A,,A,,A,,A
20212,04427564,74,0,1,400,D,03,D,20,D,,A,,A,,A,,A
20212,04427594,42,0,1,410,D,03,D,179,D,,A,,A,,A,,A
20212,04428144,25,0,1,420,D,02,D,360,D,,A,,A,,A,,A
20212,04428254,20,0,1,420,D,03,D,36,D,,A,,A,,A,,A
20212,04428274,40,0,2,405,D,01,D,50,D,,A,,A,,A,,A
20212,04428294,24,0,1,420,D,01,D,170,D,,A,,A,,A,,A
20212,04428324,30,0,2,430,D,01,D,,H,425,D,405,D,,A,,A
20212,04428324,30,1,2,405,D,01,D,180,E,,A,,A,,A,,A
20212,04428684,40,0,1,400,D,02,D,24,D,,A,,A,,A,,A
20212,04428924,37,0,1,420,D,03,D,125,D,,A,,A,,A,,A
20212,04428974,57,0,1,400,D,03,D,28,D,,A,,A,,A,,A
20212,04428974,58,0,1,400,D,03,D,28,D,,A,,A,,A,,A
20212,04429004,26,0,1,420,D,03,D,40,D,,A,,A,,A,,A
20212,04429174,34,0,1,410,D,02,D,20,D,,A,,A,,A,,A
20212,04429294,27,0,1,400,D,03,D,7,D,,A,,A,,A,,A
20212,04429344,52,0,2,420,D,01,D,60,D,,A,,A,,A,,A
20212,04429374,35,0,1,410,D,02,D,37,D,,A,,A,,A,,A
20212,04429624,34,0,1,430,D,01,D,,H,405,D,415,D,,A,,A
20212,04429624,34,1,1,405,D,01,D,303,E,,A,,A,,A,,A
20212,04429624,34,2,1,420,D,01,D,176,E,,A,,A,,A,,A
20212,04429654,26,0,1,420,D,03,D,186,D,,A,,A,,A,,A
20212,04429844,77,0,1,400,D,02,D,55,D,,A,,A,,A,,A
20212,04429954,26,0,1,410,D,01,D,8,D,,A,,A,,A,,A
20212,04429954,27,0,1,420,D,01,D,27,D,,A,,A,,A,,A
20212,04429964,35,0,1,420,D,02,D,100,D,,A,,A,,A,,A
20212,04430334,30,0,1,420,D,01,D,76,D,,A,,A,,A,,A
20212,04430374,50,0,2,420,D,01,D,267,D,,A,,A,,A,,A
20212,04430384,27,0,1,400,D,03,D,38,D,,A,,A,,A,,A
20212,04430404,33,0,1,430,D,03,D,,H,405,D,415,D,,A,,A
20212,04430404,33,1,1,405,D,03,D,76,E,,A,,A,,A,,A
20212,04430404,33,2,1,420,D,03,D,49,E,,A,,A,,A,,A
20212,04430434,55,0,1,420,D,02,D,325,D,,A,,A,,A,,A
20212,04430744,30,0,1,420,D,02,D,151,D,,A,,A,,A,,A
20212,04430974,38,0,1,400,D,03,D,29,D,,A,,A,,A,,A
20212,04431114,16,0,1,420,D,01,D,65,D,,A,,A,,A,,A
20212,04431154,37,0,1,420,D,02,D,119,F,,A,,A,,A,,A
20212,04431184,35,0,1,420,D,02,D,111,D,,A,,A,,A,,A
20212,04431184,36,0,2,420,D,01,D,111,D,,A,,A,,A,,A
20212,04431214,21,0,2,420,D,01,D,370,D,,A,,A,,A,,A
20212,04431314,52,0,1,410,D,02,D,30,D,,A,,A,,A,,A
20212,04431314,53,0,1,430,D,02,D,,H,425,D,405,D,415,D,,A
20212,04431314,53,1,1,405,D,02,D,55,E,,A,,A,,A,,A
20212,04431314,53,2,1,420,D,02,D,22,E,,A,,A,,A,,A
20212,04431314,54,0,1,430,D,01,D,,H,425,D,405,D,415,D,,A
20212,04431314,54,1,1,405,D,01,D,119,E,,A,,A,,A,,A
20212,04431314,54,2,1,420,D,01,D,48,E,,A,,A,,A,,A
20212,04431314,55,0,1,430,D,03,D,,H,425,D,405,D,415,D,,A
20212,04431314,55,1,1,405,D,03,D,128,E,,A,,A,,A,,A
20212,04431314,55,2,1,420,D,03,D,52,E,,A,,A,,A,,A
20212,04431504,20,0,1,400,D,01,D,50,D,,A,,A,,A,,A
20212,04431524,41,0,1,430,D,02,D,,H,415,D,410,D,,A,,A
20212,04431524,41,1,1,420,D,02,D,110,E,,A,,A,,A,,A
20212,04431524,41,2,1,410,D,02,D,10,E,,A,,A,,A,,A
20212,04431544,64,0,1,420,D,02,D,80,D,,A,,A,,A,,A
