QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20212,04420374,53,0,1,13,D,80,D,,A,80,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420374,54,0,2,01,D,80,D,,A,80,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420404,26,0,1,01,D,140,D,,A,140,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420404,27,0,1,02,D,1000,D,,A,1000,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420424,5,0,1,03,D,856,D,,A,856,D,380,D,2,D,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420424,42,0,1,02,D,2140,D,,A,2140,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420434,35,0,1,03,D,35,D,,A,,H,500,D,1,D,2,D,110,D,370,D,100,D,,A,,A,,A,,A,,A,,A
20212,04420434,35,1,1,03,D,,B,,A,15,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420434,35,2,1,03,D,,B,,A,17,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420434,35,3,1,03,D,,B,,A,3,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420484,22,0,1,02,D,105,D,,A,105,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420594,24,0,1,02,D,75,D,,A,75,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420604,20,0,1,03,D,100,D,,A,100,D,140,D,,A,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420604,21,0,1,03,D,200,D,,A,200,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420604,22,0,2,01,D,70,D,,A,70,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420604,23,0,2,01,D,200,D,,A,200,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420644,24,0,1,02,D,300,D,,A,300,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420644,25,0,1,01,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420674,24,0,1,03,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420704,50,0,1,01,D,29,D,,A,29,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420704,51,0,1,02,D,29,D,,A,29,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420704,52,0,1,03,D,29,D,,A,29,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420724,31,0,2,01,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420744,18,0,1,03,D,230,D,,A,230,D,140,D,,A,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420834,38,0,1,01,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420914,30,0,1,03,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420914,31,0,1,01,D,12,D,,A,12,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420914,32,0,1,02,D,12,D,,A,12,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420914,33,0,1,03,D,24,D,,A,24,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421004,31,0,1,03,D,61,D,,A,61,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421024,24,0,1,01,D,600,D,,A,600,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,56,0,1,01,D,16,D,,A,16,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,57,0,1,02,D,16,D,,A,16,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,72,0,1,03,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,39,0,1,02,D,191,D,,A,191,D,130,D,,A,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,40,0,1,01,D,141,D,,A,,H,500,D,1,D,2,D,160,D,100,D,,A,,A,,A,,A,,A,,A,,A
20212,04421354,40,1,1,01,D,,B,,A,94,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,40,2,1,01,D,,B,,A,47,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421374,20,0,1,03,D,453,D,,A,453,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421534,35,0,1,03,D,81,D,,A,81,D,140,D,,A,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421554,13,0,1,01,D,75,D,,A,75,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421554,14,0,1,02,D,75,D,,A,75,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421554,15,0,1,03,D,75,D,,A,75,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421624,12,0,1,01,D,202,D,,A,202,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421624,13,0,1,13,D,30,D,,A,30,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421644,17,0,1,01,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421664,66,0,1,01,D,1209,D,,A,,H,500,D,1,D,2,D,110,D,380,D,100,D,,A,,A,,A,,A,,A,,A
20212,04421664,66,1,1,01,D,,B,,A,415,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421664,66,2,1,01,D,,B,,A,693,E,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421664,66,3,1,01,D,,B,,A,101,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421674,44,0,1,03,D,35,D,,A,35,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421674,45,0,1,02,D,3000,D,,A,3000,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421784,12,0,1,03,D,49,D,,A,49,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421794,21,0,1,03,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421794,22,0,1,03,D,10,D,,A,10,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421864,29,0,1,03,D,52,D,,A,52,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421864,30,0,1,01,D,90,D,,A,90,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,42,0,1,02,D,200,D,,A,200,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,43,0,1,01,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,44,0,1,02,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,45,0,1,03,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,46,0,2,01,D,30,D,,A,30,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421904,14,0,1,03,D,2022,D,,A,,H,500,D,1,D,2,D,320,D,110,D,,A,,A,,A,,A,,A,,A,,A
20212,04421904,14,1,1,03,D,,B,,A,1348,E,320,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421904,14,2,1,03,D,,B,,A,674,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,43,0,1,01,D,66,D,,A,66,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,44,0,1,03,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,45,0,1,03,D,120,D,,A,120,D,140,D,,A,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421954,34,0,1,02,D,212,D,,A,,H,115,D,1,D,2,D,110,D,100,D,,A,,A,,A,,A,,A,,A,,A
20212,04421954,34,1,1,02,D,,B,,A,171,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421954,34,2,1,02,D,,B,,A,41,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421954,35,0,1,03,D,48,D,,A,48,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421984,38,0,1,03,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422044,51,0,1,03,D,40,D,,A,40,D,130,D,,A,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422064,26,0,1,01,D,358,D,,A,358,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,59,0,1,02,D,28,D,,A,28,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,60,0,1,03,D,25,D,,A,25,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422264,44,0,1,03,D,90,D,,A,90,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422264,45,0,1,03,D,90,D,,A,90,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422274,14,0,1,02,D,90,D,,A,90,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422314,34,0,1,01,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422314,35,0,1,02,D,30,D,,A,30,D,360,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422324,25,0,1,03,D,750,D,,A,750,D,140,D,,A,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422414,20,0,1,03,D,48,D,,A,48,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422444,29,0,1,02,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422444,30,0,1,13,D,48,D,,A,48,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422484,22,0,1,03,D,120,D,,A,120,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422504,54,0,2,01,D,30,D,,A,30,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
