QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20212,04420374,4,0,1,300,D,1,D,2,D,13,D,,A,4000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420434,5,0,1,355,D,2,D,1,D,01,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420814,2,0,2,300,D,1,D,6,D,01,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420854,5,0,1,360,D,1,D,2,D,03,D,,A,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,8,0,1,100,D,1,D,,A,13,D,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,9,0,1,100,D,1,D,,A,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,10,0,1,100,D,1,D,,A,13,D,,A,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,11,0,1,100,D,1,D,,A,13,D,,A,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,12,0,1,100,D,1,D,,A,13,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,13,0,1,100,D,1,D,,A,13,D,,A,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,14,0,1,100,D,1,D,,A,01,D,,A,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,10,0,1,100,D,1,D,,A,01,D,,A,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,11,0,1,100,D,1,D,,A,13,D,,A,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421214,10,0,1,100,D,1,D,,A,03,D,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,11,0,1,200,D,1,D,,A,13,D,,A,1503,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,12,0,1,300,D,1,D,2,D,13,D,,A,655,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,13,0,1,320,D,1,D,,A,13,D,,A,72,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421304,2,0,1,300,D,1,D,2,D,13,D,,A,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421554,4,0,1,200,D,1,D,,A,13,D,,A,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421674,9,0,1,100,D,1,D,,A,03,D,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421674,10,0,1,355,D,1,D,2,D,03,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421914,4,0,1,300,D,1,D,2,D,13,D,,A,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,7,0,1,380,D,1,D,1,D,01,D,,A,,H,358,D,380,D,355,D,,A,,A,,A,,A,,A,,A
20212,04421934,7,1,1,100,D,1,D,1,D,01,D,,A,91,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,7,2,1,300,D,1,D,1,D,01,D,,A,417,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,7,3,1,355,D,1,D,1,D,01,D,,A,104,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,7,4,1,358,D,1,D,1,D,01,D,,A,104,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
