QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20212,04420754,31,0,1,1,D,,H,,A
20212,04420754,31,1,1,,A,79,E,100,D
20212,04420754,31,2,1,,A,31,E,110,D
20212,04420754,31,3,1,,A,290,E,130,D
20212,04421914,39,0,1,1,D,,H,,A
20212,04421914,39,1,1,,A,1473,E,100,D
20212,04421914,39,2,1,,A,1294,E,120,D
20212,04421914,39,3,1,,A,1108,E,130,D
20212,04421914,39,4,1,,A,600,E,140,D
20212,04421914,39,5,1,,A,525,E,150,D
20212,04423304,25,0,1,2,D,,H,,A
20212,04423304,25,1,1,,A,55,E,100,D
20212,04423304,25,2,1,,A,19,E,110,D
20212,04423304,25,3,1,,A,21,E,120,D
20212,04423304,25,4,1,,A,185,E,130,D
20212,04423304,25,5,1,,A,3,E,140,D
20212,04423304,25,6,1,,A,109,E,150,D
20212,04423304,25,7,1,,A,8,E,190,D
20212,04431884,48,0,1,1,D,,H,,A
20212,04431884,48,1,1,,A,238,E,130,D
20212,04464164,45,0,1,1,D,,H,,A
20212,04464164,45,1,1,,A,218,E,100,D
20212,04464164,45,2,1,,A,64,E,110,D
20212,04464164,45,3,1,,A,47,E,120,D
20212,04464164,45,4,1,,A,8,E,140,D
20212,04464164,45,5,1,,A,412,E,150,D
20212,04464164,45,6,1,,A,51,E,190,D
20212,04464534,27,0,1,2,D,,H,,A
20212,04464534,27,1,1,,A,117,E,100,D
20212,04464534,27,2,1,,A,46,E,110,D
20212,04464534,27,3,1,,A,49,E,120,D
20212,04464534,27,4,1,,A,9,E,140,D
20212,04464534,27,5,1,,A,259,E,150,D
20212,04464534,27,6,1,,A,20,E,190,D
20212,04465814,36,0,1,1,D,,H,,A
20212,04465814,36,1,1,,A,68,E,100,D
20212,04465814,36,2,1,,A,38,E,110,D
20212,04465814,36,3,1,,A,42,E,120,D
20212,04465814,36,4,1,,A,138,E,130,D
20212,04465814,36,5,1,,A,67,E,150,D
20212,04465814,36,6,1,,A,38,E,170,D
20212,04465814,36,7,1,,A,9,E,190,D
20212,04472064,27,0,1,1,D,,H,,A
20212,04472064,27,1,1,,A,141,E,100,D
20212,04472064,27,2,1,,A,78,E,110,D
