QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20212,04420854,21,0,1,3,D,186,D,,A,4,D,,A,,A,,A,,A,,A,40,D,16,D
20212,04427164,48,0,1,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04427194,35,0,1,1,D,85,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20212,04428274,32,0,1,4,D,281,G,59,G,,A,400,D,1,D,1,D,2,D,2,D,96,G,,A
20212,04428644,20,0,1,4,D,400,D,40,D,,A,,A,,A,,A,,A,,A,310,D,,A
20212,04428684,33,0,1,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,150,D,20,D
20212,04430434,47,0,1,3,D,300,D,45,D,,A,,A,,A,,A,,A,,A,45,D,,A
20212,04462384,33,0,1,1,D,79,G,13,G,,A,,A,1,D,1,D,2,D,2,D,33,G,,A
20212,04462384,34,0,1,1,D,78,G,13,G,,A,,A,1,D,1,D,2,D,2,D,34,G,,A
20212,04464224,22,0,1,1,D,138,D,,A,,A,,A,,A,,A,,A,,A,80,D,,A
20212,04465824,37,0,1,1,D,110,D,,A,,A,76,D,,A,,A,,A,,A,150,D,,A
20212,04468984,54,0,1,4,D,450,D,25,D,15,D,,A,,A,,A,,A,,A,125,D,0,D
20212,04471774,13,0,1,3,D,800,D,20,D,,A,280,D,,A,,A,,A,,A,180,D,50,D
20212,04509564,77,0,1,1,D,120,D,50,D,,A,,A,,A,,A,,A,,A,90,D,,A
20212,04511154,30,0,1,3,D,368,D,50,D,,A,,A,,A,,A,,A,,A,250,D,20,D
20212,04511854,14,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,20,D,,A
20212,04544673,30,0,1,2,D,250,D,23,G,9,G,,A,,A,,A,,A,,A,241,G,27,G
20212,04546133,35,0,1,14,D,3100,D,30,D,50,D,,A,,A,,A,,A,,A,170,D,100,D
20212,04551583,13,0,1,2,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04552303,38,0,1,2,D,110,G,,A,,A,20,F,2,D,1,D,2,D,2,D,200,F,200,F
20212,04552303,39,0,1,2,D,110,G,,A,,A,20,F,2,D,1,D,2,D,2,D,1000,F,20,F
20212,04552303,40,0,1,2,D,110,G,,A,,A,20,F,2,D,1,D,2,D,2,D,30,F,50,F
20212,04559523,16,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,200,D,20,D
20212,04563053,27,0,1,2,D,230,D,25,F,,A,,A,,A,,A,,A,,A,175,F,50,D
20212,04566993,40,0,1,5,D,2778,G,463,G,,A,1564,G,1,D,1,D,1,D,2,D,1495,G,50,D
20212,04574433,29,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20212,04575263,41,0,1,1,D,262,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04575263,42,0,1,2,D,262,F,,A,,A,,A,,A,,A,,A,,A,1100,D,,A
20212,04576333,16,0,1,3,D,250,D,,A,,A,,A,,A,,A,,A,,A,100,D,50,D
20212,04579383,57,0,1,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,290,D,,A
20212,04610702,41,0,1,5,D,,A,,A,70,D,,A,,A,,A,,A,,A,,A,530,D
20212,04610702,42,0,1,3,D,25,D,,A,50,D,,A,,A,,A,,A,,A,300,D,0,D
20212,04614862,23,0,1,1,D,310,G,,A,,A,68,G,2,D,1,D,1,D,2,D,30,D,,A
20212,04617882,30,0,1,1,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04620912,67,0,1,1,D,150,D,,A,,A,4,F,,A,,A,,A,,A,,A,35,D
20212,04652352,62,0,1,1,D,97,D,9,D,,A,,A,,A,,A,,A,,A,24,D,,A
20212,04655462,8,0,1,1,D,348,G,73,G,,A,,A,1,D,1,D,2,D,2,D,119,G,,A
20212,04657092,18,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04660972,28,0,1,7,D,840,D,,A,,A,,A,,A,,A,,A,,A,100,D,100,D
20212,04679282,50,0,1,2,D,240,D,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20212,04679282,51,0,1,4,D,500,D,,A,,A,,A,,A,,A,,A,,A,75,D,30,D
20212,04679532,20,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20212,04680292,27,0,1,2,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,100,D
20212,04681812,22,0,1,4,D,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20212,04683332,15,0,1,8,D,,A,100,D,50,D,,A,,A,,A,,A,,A,1200,D,150,D
20212,04683732,35,0,1,5,D,,A,,A,,A,120,D,,A,,A,,A,,A,1000,D,200,D
20212,04683842,44,0,1,1,D,180,D,30,D,,A,,A,,A,,A,,A,,A,120,D,,A
20212,04684022,20,0,1,6,D,733,D,,A,,A,,A,,A,,A,,A,,A,200,D,130,D
20212,04686372,27,0,1,2,D,250,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20212,04686472,14,0,1,3,D,500,D,,A,,A,,A,,A,,A,,A,,A,100,D,50,D
20212,04689102,34,0,1,3,D,250,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20212,04736991,42,0,1,1,D,250,D,75,D,,A,,A,,A,,A,,A,,A,125,D,,A
20212,04736991,43,0,1,2,D,400,D,150,D,,A,,A,,A,,A,,A,,A,300,D,,A
20212,04737721,18,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20212,04741291,18,0,1,3,D,300,D,,A,,A,50,D,,A,,A,,A,,A,150,D,,A
20212,04741891,12,0,1,2,D,40,D,,A,,A,50,D,,A,,A,,A,,A,40,D,,A
20212,04742741,30,0,1,1,D,200,D,80,D,,A,,A,,A,,A,,A,,A,120,D,,A
20212,04743301,15,0,1,4,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04743821,9,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20212,04746251,13,0,1,4,D,1000,D,100,D,,A,,A,,A,,A,,A,,A,300,D,,A
20212,04747511,22,0,1,1,D,110,G,20,D,,A,,A,2,D,1,D,2,D,2,D,40,D,,A
20212,04748511,41,0,1,1,D,240,D,300,D,,A,,A,,A,,A,,A,,A,350,D,,A
20212,04749474,32,0,1,1,D,250,D,300,F,,A,,A,,A,,A,,A,,A,350,F,,A
20212,04752991,12,0,1,4,D,375,G,74,G,,A,,A,1,D,1,D,2,D,2,D,351,G,,A
20212,04754021,28,0,1,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,70,D,,A
20212,04754711,15,0,1,1,D,,A,3,D,,A,,A,,A,,A,,A,,A,12,D,,A
