QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNRNTX,FURN_NTX,REPFURNX,REPF_RNX
20212,04421664,12,0,1,,A,56,D
20212,04424404,12,0,1,129,D,,A
20212,04471854,11,0,1,,A,160,D
20212,04508414,6,0,1,423,D,,A
20212,04508924,18,0,1,,A,40,D
20212,04510054,5,0,1,,A,1100,D
20212,04512004,5,0,1,,A,30,D
20212,04514164,20,0,1,,A,900,D
20212,04548753,6,0,1,474,D,,A
20212,04548883,12,0,1,,A,700,D
20212,04549933,3,0,1,240,D,,A
20212,04551543,3,0,1,,A,94,D
20212,04552203,14,0,1,,A,913,D
20212,04554093,2,0,1,,A,,A
20212,04559003,6,0,1,,A,50,D
20212,04559413,5,0,1,,A,50,D
20212,04569923,6,0,1,600,D,,A
20212,04570123,5,0,1,480,D,,A
20212,04570903,3,0,1,283,D,,A
20212,04572893,9,0,1,,A,1600,D
20212,04614582,8,0,1,,A,200,D
20212,04620912,18,0,1,,A,400,D
20212,04652642,12,0,1,,A,500,D
20212,04654382,18,0,1,,A,11,D
20212,04655142,14,0,1,327,D,,A
20212,04658342,3,0,1,750,D,,A
20212,04660602,10,0,1,,A,847,D
20212,04661572,21,0,1,,A,460,D
20212,04680782,7,0,1,,A,100,D
20212,04687522,15,0,1,,A,40,D
20212,04748091,9,0,1,,A,400,D
20212,04749034,6,0,1,424,D,,A
20212,04753611,15,0,1,,A,75,D
20212,04757251,18,0,1,,A,80,D
20212,04763321,7,0,1,,A,1700,D
20212,04764571,11,0,1,,A,40,D
20212,04768641,6,0,1,135,D,,A
20212,04769501,4,0,1,,A,100,D
20213,04544774,7,0,1,,A,250,D
20213,04544894,3,0,1,,A,,A
20213,04552204,10,0,1,,A,1150,D
20213,04553464,9,0,1,,A,125,D
20213,04559414,9,0,1,,A,50,D
20213,04559654,10,0,1,,A,500,D
20213,04561594,16,0,1,,A,300,D
20213,04563534,2,0,1,,A,,A
20213,04568674,3,0,1,,A,,A
20213,04570124,4,0,1,480,D,,A
20213,04615043,6,0,1,,A,20,D
20213,04617573,6,0,1,,A,16,D
20213,04619293,3,0,1,,A,250,D
20213,04652613,6,0,1,500,D,,A
20213,04682483,12,0,1,,A,60,D
20213,04684383,33,0,1,,A,550,D
20213,04685273,2,0,1,,A,,A
20213,04686443,2,0,1,,A,,A
20213,04687523,4,0,1,,A,40,D
20213,04689333,21,0,1,,A,15,D
20213,04689483,5,0,1,,A,400,D
20213,04737132,7,0,1,,A,125,D
20213,04743072,8,0,1,,A,425,D
20213,04745012,15,0,1,,A,200,D
20213,04745082,3,0,1,,A,,A
20213,04747502,4,0,1,,A,205,D
20213,04748942,3,0,1,,A,4000,D
20213,04749892,4,0,1,219,D,,A
20213,04752222,7,0,1,,A,200,D
20213,04755552,3,0,1,,A,30,D
20213,04764462,13,0,1,,A,699,D
20213,04765432,4,0,1,,A,1600,D
20213,04766072,13,0,1,,A,120,D
20213,04815261,26,0,1,,A,480,D
20213,04816401,2,0,1,,A,,A
20213,04818441,2,0,1,,A,,A
20213,04823261,8,0,1,,A,80,D
20213,04823831,5,0,1,,A,25,D
20213,04824221,5,0,1,,A,325,D
20213,04829391,6,0,1,,A,20,D
20213,04831961,3,0,1,,A,550,D
20213,04834751,7,0,1,,A,120,D
20213,04837601,3,0,1,,A,128,D
20213,04838371,2,0,1,,A,,A
20213,04840651,17,0,1,642,D,,A
20213,04840861,16,0,1,,A,14,D
20213,04841261,2,0,1,,A,,A
20213,04842071,33,0,1,,A,450,D
20213,04848271,19,0,1,3300,D,,A
20214,04614734,14,0,1,,A,6,D
20214,04616494,16,0,1,,A,100,D
20214,04621414,2,0,1,,A,,A
20214,04659374,7,0,1,,A,40,D
20214,04680864,8,0,1,,A,50,D
20214,04735783,5,0,1,258,D,,A
20214,04756303,4,0,1,,A,280,D
20214,04761923,12,0,1,,A,34,D
20214,04765053,4,0,1,,A,120,D
20214,04769213,5,0,1,,A,1600,D
20214,04818062,7,0,1,140,D,,A
20214,04821452,7,0,1,,A,30,D
20214,04823832,8,0,1,,A,10,D
20214,04826422,13,0,1,,A,100,D
20214,04827252,11,0,1,,A,420,D
20214,04832012,9,0,1,,A,28,D
20214,04834452,12,0,1,165,D,,A
20214,04838072,17,0,1,,A,475,D
20214,04838463,6,0,1,,A,50,D
20214,04845132,9,0,1,,A,40,D
20214,04896641,14,0,1,,A,80,D
20214,04899861,4,0,1,,A,,A
20214,04901371,13,0,1,,A,240,D
20214,04904301,4,0,1,99,D,,A
20214,04905551,7,0,1,,A,85,D
20214,04908491,17,0,1,,A,150,D
20214,04915071,2,0,1,100,D,,A
20214,04916241,8,0,1,,A,94,D
20214,04924291,5,0,1,,A,200,D
20214,04924981,2,0,1,735,D,,A
20214,04928741,4,0,1,,A,9300,D
20221,04741814,14,0,1,,A,150,D
20221,04743964,6,0,1,,A,25,D
20221,04744204,6,0,1,,A,500,D
20221,04745844,17,0,1,400,D,,A
20221,04750864,11,0,1,,A,3500,D
20221,04755594,12,0,1,,A,50,D
20221,04759814,11,0,1,,A,375,D
20221,04763804,5,0,1,,A,50,D
20221,04765294,4,0,1,,A,400,D
20221,04766674,16,0,1,,A,600,D
20221,04823633,24,0,1,40,D,,A
20221,04832953,10,0,1,,A,39,D
20221,04836893,4,0,1,,A,,A
20221,04844793,7,0,1,,A,225,D
20221,04845033,3,0,1,,A,195,D
20221,04848423,13,0,1,,A,7,D
20221,04900852,12,0,1,,A,350,D
20221,04907752,10,0,1,250,D,,A
20221,04908182,5,0,1,360,D,90,D
20221,04909792,7,0,1,,A,501,D
20221,04911514,24,0,1,,A,150,D
20221,04919402,22,0,1,,A,165,D
20221,04925712,7,0,1,,A,25,D
20221,04925732,7,0,1,94,D,,A
20221,04927322,8,0,1,,A,10,D
20221,04930222,10,0,1,,A,200,D
20221,04932161,8,0,1,,A,60,D
20221,04936961,31,0,1,,A,200,D
20221,04940131,18,0,1,4000,D,,A
20221,04940191,5,0,1,,A,299,D
20221,04940231,36,0,1,,A,10,D
20221,04942961,2,0,1,300,D,,A
20221,04943711,12,0,1,,A,12,D
20221,04943991,2,0,1,,A,,A
20221,04946391,8,0,1,,A,100,D
20221,04946561,19,0,1,,A,40,D
20221,04947791,6,0,1,214,D,,A
20221,04949312,14,0,1,300,D,,A
20221,04952781,11,0,1,,A,600,D
20221,04960081,2,0,1,,A,,A
