QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20212,04690412,20,0,5,01,D,100,D,.0635,D,87000,D,20,D,641,D,3,D,4,D,5,D,,A,0,D,235,D,236,D,238,D,406,D,405,D,403,D,,A,01,D,2017,D,1,D,,A,76692,D,76457,D,76221,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04738171,44,0,1,01,D,100,D,.0544,D,40000,D,15,D,326,D,,A,,A,,A,6,D,0,D,257,D,258,D,259,D,69,D,68,D,67,D,,A,06,D,2010,D,1,D,,A,15233,D,14976,D,14718,D,01,D,,A,,A,,A,,A,,A,,A,,A,,A
20212,04739891,10,0,1,01,D,100,D,.0850,D,270000,D,3,D,8140,T,,A,,A,,A,,A,0,D,6229,T,6255,T,7443,T,519,D,478,D,436,D,,A,01,D,2019,D,1,D,,A,97727,D,89897,D,82010,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04741021,29,0,1,01,D,100,D,.0529,D,468915,T,5,D,8140,T,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,06,D,2018,D,2,D,,A,180700,D,174846,D,168965,D,01,D,1,D,,A,,A,350,D,350,D,350,D,1,D,2,D
20212,04745941,16,0,1,01,D,100,D,.0400,D,21720,D,5,D,400,D,,A,,A,,A,,A,0,D,340,D,341,D,342,D,45,D,44,D,44,D,,A,02,D,2020,D,1,D,,A,18056,D,17716,D,17375,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04748511,29,0,1,01,D,100,D,.0475,F,50000,F,15,F,389,F,,A,,A,,A,,A,0,F,271,F,272,F,273,F,118,F,117,F,116,F,,A,11,F,2013,F,1,F,,A,29931,F,29661,F,29389,F,01,D,,A,,A,,A,133,F,133,F,133,F,1,D,2,D
20212,04748711,13,0,1,01,D,100,D,.0662,F,75000,F,20,F,564,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,0,F,0,F,0,F,,A,03,F,2005,F,2,F,,A,24608,F,24179,F,23748,F,01,D,,A,,A,,A,0,F,0,F,0,F,1,D,2,D
20212,04749861,36,0,1,01,D,100,D,.0472,D,20000,D,15,D,225,D,,B,,B,,B,,B,70,D,82,D,82,D,82,D,73,D,73,D,73,D,,A,10,D,2019,D,1,D,,A,18661,D,18579,D,18497,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04749881,10,0,1,01,D,100,D,.0367,D,111000,D,10,D,1106,D,,A,,A,,A,,A,0,D,767,D,769,D,771,D,339,D,337,D,335,D,,A,03,D,2021,D,2,D,,A,111000,D,110233,D,109465,D,01,D,,A,2,D,,A,3308,T,3308,T,3558,T,1,D,2,D
20212,04750881,9,0,1,01,D,100,D,.0440,F,40000,F,15,F,365,F,,B,,B,,B,,B,61,F,190,F,191,F,192,F,114,F,113,F,112,F,,A,10,F,2016,F,1,F,,A,31005,F,30814,F,30623,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20212,04752161,23,0,1,01,D,100,D,.0386,D,30000,D,3,D,1050,D,,B,,B,,B,,B,166,D,821,D,824,D,826,D,63,D,60,D,58,D,,A,02,D,2020,D,1,D,,A,19563,D,18741,D,17918,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
