ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,,A,1,D,,A,2,D,2,D,,A,1,D,1,2,,1,D,D,A,D,04,12,D,D,1,,A,D,,A,,A,04420324,,A,,A,,A,,A,36,D,HHP,5,1,4,4,D,20212
0,,A,1,D,,A,1,D,1,D,,A,1,D,2,2,,1,D,D,A,D,04,29,D,D,1,,A,D,,A,,A,04420324,,A,,A,,A,,A,87,D,HHP,5,1,5,1,D,20212
0,,A,1,D,,A,1,D,1,D,,A,1,D,3,2,,1,D,D,A,D,04,35,D,D,1,,A,D,,A,,A,04420324,,A,,A,,A,,A,105,D,HHP,5,1,6,1,D,20212
0,2,D,1,D,1,D,2,D,1,D,,A,1,D,4,2,,1,D,D,A,D,04,428,D,D,1,,A,D,2,D,,A,04420324,2,D,2,D,,A,,A,1284,D,HHP,5,1,7,,A,20212
0,,A,1,D,,A,4,D,2,D,,A,1,D,1,2,,,D,D,A,C,01,,D,C,1,,A,D,,A,,A,04420374,,A,,A,,A,,A,75,F,HHP,5,1,9,1,D,20212
0,,A,1,D,,A,4,D,2,D,,A,1,D,2,2,,,D,D,A,C,01,,D,C,1,,A,D,,A,,A,04420374,,A,,A,,A,,A,27,F,HHP,5,1,10,4,D,20212
0,,A,1,D,,A,4,D,2,D,,A,1,D,3,2,,,D,D,A,C,01,,D,C,1,,A,D,,A,,A,04420374,,A,,A,,A,,A,455,F,HHP,5,1,11,3,D,20212
0,,C,1,D,,A,4,D,2,D,,A,,A,4,2,,,D,D,A,C,04,,D,C,1,,A,D,,C,,A,04420374,2,D,,A,,A,,A,2308,F,HHP,5,1,12,,A,20212
0,,A,,A,,A,5,D,2,D,,A,,A,1,1,,1,D,D,A,D,02,,D,C,,,A,A,,A,,A,04420404,,A,,A,,A,,A,975,F,HHP,1,1,4,1,D,20212
0,,A,,A,,A,5,D,2,D,,A,,A,2,1,,1,D,D,A,D,02,,D,C,,,A,A,,A,,A,04420404,,A,,A,,A,,A,228,F,HHP,1,1,5,1,D,20212
0,,A,,A,,A,5,D,2,D,,A,,A,3,1,,1,D,D,A,D,02,,D,C,,,A,A,,A,,A,04420404,,A,,A,,A,,A,117,F,HHP,1,1,6,4,D,20212
