QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20212,04420324,26,0,1,,A,1,D,,A,1,D,2,D,,A,51,E,51,E,53,E,,A,,A,,A,68,E,68,E,66,E,,A,,A,,A,2,D,1,D
20212,04420324,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,1,D
20212,04420324,28,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,100,D,100,D,100,D,,A,,A,,A,,A,,A,,A,,A,2,D
20212,04420374,46,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,1,D
20212,04420374,47,0,1,,A,,A,,A,1,D,1,D,,A,80,E,80,E,80,E,120,E,120,E,120,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20212,04420404,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,107,D,107,D,107,D,,A,1,D
20212,04420404,22,0,1,,A,1,D,,A,1,D,1,D,,A,56,E,56,E,56,E,89,E,87,E,87,E,30,E,32,E,32,E,,A,,A,,A,2,D,1,D
20212,04420424,36,0,1,,A,,A,,A,1,D,1,D,,A,71,E,70,E,69,E,129,E,130,E,131,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20212,04420424,37,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,80,D,80,D,,A,1,D
20212,04420424,38,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D
20212,04420434,30,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,36,D,36,D,36,D,,A,1,D
20212,04420434,31,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20212,04420444,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,150,D,150,D,150,D,,A,1,D
20212,04420444,28,0,1,,A,,A,,A,1,D,2,D,,A,120,D,120,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20212,04420444,29,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,60,D,60,D,60,D,,A,,A,,A,,A,,A,,A,,A,2,D
20212,04420484,16,0,1,,A,,A,,A,1,D,2,D,,A,60,D,60,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20212,04420484,17,0,1,,A,,A,2,D,1,D,2,D,,A,26,E,25,E,26,E,,A,,A,,A,,A,,A,,A,54,E,55,E,54,E,2,D,1,D
20212,04420494,29,0,1,,A,1,D,,A,1,D,1,D,,A,40,E,39,E,39,E,76,E,77,E,77,E,42,E,42,E,42,E,,A,,A,,A,2,D,1,D
20212,04420494,30,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,126,D,126,D,126,D,,A,1,D
20212,04420504,8,0,1,,A,1,D,,A,1,D,2,D,,A,44,E,44,E,49,E,,A,,A,,A,46,E,46,E,41,E,,A,,A,,A,2,D,1,D
20212,04420514,22,0,1,,A,1,D,2,D,1,D,1,D,,A,54,E,54,E,54,E,110,E,110,E,110,E,40,E,40,E,42,E,96,E,96,E,94,E,2,D,1,D
20212,04420544,23,0,1,,A,1,D,,A,1,D,1,D,,A,69,E,69,E,69,E,108,E,108,E,110,E,39,E,39,E,37,E,,A,,A,,A,2,D,1,D
20212,04420564,14,0,1,,A,1,D,,A,1,D,1,D,,A,66,G,37,G,66,G,135,G,76,G,135,G,49,G,27,G,49,G,,A,,A,,A,2,D,1,D
20212,04420574,16,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,90,D,90,D,,A,1,D
20212,04420574,17,0,1,,A,,A,,A,1,D,2,D,,A,85,D,85,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
