NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04006694,1,0,0,2019,2018,1,.00000,.00000,1,-.3400,-.3400,01,D,.06430,.06430,0,D,0,D,0,D,12000,D,18306,D,0,D,0,D,0,D,1091,D,0,D,1,D,1,D,1,D,0,D,0,842,0,0,852,833,0,0,29277,29277,24800,24195,1128,1093,0,0,0,0,0,0,29277,29277,0,0,1128,1093,1128,1093,3478,3650,1091,1064,0,0,0,0,0,0,0
04006704,1,0,0,2019,2018,0,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,2604,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04006764,1,63,0,2019,2018,0,.03800,.03800,2,.24000,.24000,11,D,.06000,.06000,262313,D,0,D,0,D,0,D,0,D,0,D,0,D,8300,D,30,D,0,D,0,D,0,D,0,D,0,D,43931,14241,44094,43768,14255,14228,23639,24197,255313,255313,255313,249086,0,0,0,0,0,0,0,0,255313,255313,0,0,44094,43768,44094,43768,6000,6000,0,0,0,0,0,0,0,0,0
04006764,2,0,0,2019,2018,1,.00000,.00000,1,-.0765,-.0765,11,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,4600,0,0,0,0,0,0,0,0,0
04006774,1,0,0,2019,2018,2,.15300,.15300,2,.22000,.22000,24,D,.07600,.07600,122000,D,54000,D,0,D,0,D,0,D,0,D,0,D,4100,D,4444,D,0,D,0,D,1,D,1,D,6412,D,22694,9425,22819,22569,9433,9416,26928,26928,176000,176000,176000,171707,2500,2500,0,0,0,0,0,0,176000,176000,0,0,25319,25069,25319,25069,13000,13000,14956,14347,0,0,0,0,0,0,0
04006774,2,0,0,2019,2018,2,.00000,.00000,1,-.3400,-.3400,24,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1,D,1,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9550,9550,0,0,0,0,0,0,0,0,0
04006834,1,0,0,2019,2018,0,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,13644,D,0,D,1920,D,0,D,50,D,0,D,0,D,0,D,0,D,580,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04006864,1,63,0,2019,2018,1,.00000,.00000,1,-.0765,-.0765,19,D,-.0027,-.0027,0,D,0,D,0,D,4702,D,0,D,0,D,6000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,4702,4702,4702,4587,0,0,0,0,0,0,0,0,4702,4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04006894,1,0,0,2019,2018,0,.15300,.15300,1,.22000,.22000,37,D,.05000,.05000,57000,D,0,D,0,D,0,D,0,D,0,D,9840,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,5654,2259,5716,5591,2266,2252,8721,8721,56440,56440,56440,55063,0,0,0,0,0,0,0,0,56440,56440,0,0,5716,5591,5716,5591,6350,6350,0,0,0,0,0,0,0,0,0
04006894,2,0,0,2019,2018,0,.15300,.15300,1,.24000,.24000,37,D,.05000,.05000,97204,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,14657,4297,14738,14575,4304,4290,14872,14872,97204,97204,97204,94833,0,0,0,0,0,0,0,0,97204,97204,0,0,14738,14575,14738,14575,6350,6350,0,0,0,0,0,0,0,0,0
04006914,1,0,0,2019,2018,3,.00000,.00000,1,-.4000,-.4000,36,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1500,D,0,D,0,D,0,D,2,D,2,D,3172,D,0,0,0,0,0,0,0,0,180,180,180,176,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04006914,2,0,0,2019,2018,3,.00000,.00000,1,-.4000,-.4000,36,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2,D,2,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04006934,1,0,29,2019,2018,0,.15300,.15300,2,.12000,.12000,14,D,.04950,.04950,33987,D,10008,D,0,D,0,D,0,D,0,D,11400,D,0,D,60,D,0,D,0,D,0,D,0,D,0,D,1991,1957,2018,1963,1957,1957,6731,6731,43995,43995,43995,42922,0,0,0,0,0,0,0,0,43995,43995,0,0,2018,1963,2018,1963,0,0,0,0,0,0,0,0,0,0,0
04006944,1,0,0,2019,2018,0,.15300,.15300,1,.22000,.22000,36,D,.03460,.03460,79000,D,0,D,0,D,0,D,0,D,0,D,0,D,4600,D,30,D,0,D,0,D,0,D,0,D,400,D,10617,2119,10680,10555,2127,2111,12087,12087,79000,79000,79000,77073,0,0,0,0,0,0,0,0,79000,79000,0,0,10680,10555,10680,10555,0,0,0,0,0,0,0,0,0,0,0
04006944,2,0,0,2019,2018,0,.00000,.00000,1,-.0765,-.0765,36,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04007014,1,0,0,2019,2018,2,.15300,.15300,1,.31060,.33060,47,D,.09960,.09960,31721,D,0,D,0,D,0,D,0,D,0,D,4200,D,0,D,0,D,0,D,2,D,2,D,2,D,0,D,-5703,614,-5591,-5816,640,588,4853,4853,31721,31721,31721,30947,1375,1337,2625,2663,0,0,2965,3153,31721,31721,0,0,1375,1337,1375,1337,3000,3000,0,0,0,0,0,0,593,615,0
04007024,1,0,0,2019,2018,2,.00000,.00000,1,-.0765,-.0765,26,D,.00000,.00000,0,D,0,D,0,D,2163,D,0,D,0,D,0,D,600,D,216,D,0,D,0,D,0,D,0,D,5949,D,0,0,0,0,0,0,0,0,2163,2163,2163,2110,0,0,0,0,0,0,0,0,2163,2163,0,0,0,0,0,0,18000,17902,0,0,0,0,0,0,0,0,0
04007064,1,60,0,2019,2018,0,.15300,.15300,2,.12000,.12000,0,T,.00000,.00000,75000,D,0,D,0,D,0,D,0,D,0,D,0,D,2200,D,18,D,0,D,0,D,0,D,0,D,14616,D,6445,0,6472,6417,0,0,11475,11475,81112,81112,0,0,0,0,0,0,0,0,0,0,81112,81112,0,0,6472,6417,6472,6417,0,0,0,0,0,0,0,0,0,0,0
04007104,1,0,0,2019,2018,0,.15300,.15300,1,.22000,.22000,14,D,.04950,.04950,68000,D,0,D,0,D,0,D,0,D,0,D,27360,D,0,D,0,D,0,D,0,D,0,D,0,D,160,D,8197,3256,8260,8135,3256,3256,10404,10404,68000,68000,68000,66341,0,0,0,0,0,0,0,0,68000,68000,0,0,8260,8135,8260,8135,0,0,0,0,0,0,0,0,0,0,0
04007114,1,43,0,2019,2018,2,.15300,.15300,2,.22000,.22000,19,D,.04680,.04680,120000,D,61378,D,0,D,0,D,0,D,0,D,0,D,2350,D,0,D,0,D,0,D,1,D,1,D,24,D,23877,6696,24002,23752,6723,6670,27751,27751,181378,181378,181378,176954,2500,2500,0,0,0,0,0,0,181378,181378,0,0,26502,26252,26502,26252,0,0,0,0,0,0,0,0,0,0,0
04007124,1,0,0,2019,2018,1,.15300,.15300,2,.12000,.12000,01,D,.04020,.04030,40000,D,54000,D,0,D,0,D,0,D,0,D,0,D,400,D,53,D,0,D,1,D,1,D,1,D,5480,D,5992,3492,6019,5964,3497,3486,14382,14382,94000,94000,94000,91707,2000,2000,0,0,0,0,0,0,94000,94000,0,0,8019,7964,8019,7964,4000,4000,13124,12804,0,0,0,0,0,0,0
04007134,1,72,0,2019,2018,1,.15300,.15300,2,.22200,.22200,10,D,.00000,.00000,0,D,35576,D,0,D,1800,D,29226,D,0,D,0,D,2000,D,290,D,0,D,0,D,0,D,0,D,0,D,2076,0,2103,2048,0,0,5443,5443,50167,50167,0,0,500,500,0,0,0,0,0,0,50167,50167,0,0,2603,2548,2603,2548,0,0,0,0,0,0,0,0,0,0,0
04007144,1,0,0,2019,2018,4,.15300,.15300,1,.21060,.21060,05,D,.00000,.00000,27000,D,0,D,0,D,0,D,0,D,0,D,0,D,7600,D,3312,D,0,D,0,D,1,D,2,D,9956,D,-5074,0,-4981,-5168,0,0,4131,4131,28800,28800,28800,28098,1080,1045,1400,1400,0,0,3581,3768,28800,28800,0,0,1080,1045,1080,1045,8802,8802,19330,18852,0,0,0,0,0,0,0
04007144,2,0,0,2019,2018,4,.00000,.00000,1,.00000,.00000,05,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1,D,2,D,0,D,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8802,8802,0,0,0,0,0,0,0,0,0
04007154,1,50,0,2019,2018,0,.15300,.15300,2,.12000,.12000,14,D,.04950,.04950,32018,D,28399,D,0,D,0,D,0,D,0,D,0,D,5000,D,240,D,0,D,0,D,0,D,0,D,4140,D,3962,2520,3989,3934,2520,2520,9244,9244,60417,60417,60417,58943,0,0,0,0,0,0,0,0,60417,60417,0,0,3989,3934,3989,3934,0,0,0,0,250,244,0,0,0,0,0
04007164,1,0,44,2019,2018,3,.07030,.07030,2,.24000,.24000,02,D,.00000,.00000,150000,D,75000,D,0,D,0,D,0,D,0,D,0,D,5100,D,0,D,0,D,2,D,2,D,2,D,17028,D,26691,0,26854,26528,0,0,31747,32305,202230,202230,0,0,4500,4500,0,0,0,0,0,0,202230,202230,0,0,31354,31028,31354,31028,0,0,0,0,0,0,0,0,0,0,0
04007174,1,36,0,2019,2018,0,.15300,.15300,2,.12000,.12000,05,D,.04000,.04000,35367,D,23080,D,0,D,0,D,0,D,0,D,0,D,90,D,0,D,0,D,0,D,0,D,0,D,0,D,3725,749,3753,3698,769,729,8942,8942,58447,58447,58447,57021,0,0,0,0,0,0,0,0,58447,58447,0,0,3753,3698,3753,3698,8802,8802,90,88,0,0,0,0,0,0,0
04007184,1,0,0,2019,2018,5,.15300,.15300,2,.12000,.12000,01,D,.05060,.05060,0,D,35000,D,0,D,39600,D,0,D,0,D,12900,D,0,D,90,D,0,D,3,D,3,D,3,D,0,D,-1337,3202,-1309,-1364,3209,3195,5355,5355,74600,74600,74600,72781,5691,5636,1309,1364,0,0,0,0,74600,74600,0,0,5691,5636,5691,5636,4000,4000,2768,2700,0,0,0,0,0,0,0
04007184,2,0,0,2019,2018,5,.00000,.00000,1,-.4500,-.4500,01,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3,D,3,D,3,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,4700,0,0,0,0,0,0,0,0,0
04007314,1,0,0,2019,2018,3,.15300,.15300,1,-.1500,.06060,10,D,.00000,.00000,19000,D,0,D,0,D,0,D,0,D,0,D,11700,D,0,D,0,D,0,D,2,D,3,D,3,D,0,D,-8933,0,-8834,-9032,0,0,2907,2907,19000,19000,0,0,100,65,2475,2475,0,0,6359,6557,19000,19000,0,0,100,65,100,65,0,0,0,0,0,0,0,0,0,0,0
04007314,2,0,0,2019,2018,0,.00000,.00000,1,-.0765,-.0765,10,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
