NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03944014,1,36,0,2019,2018,2,.08930,.08930,2,.24000,.24000,50,D,.06270,.06270,170000,D,120000,D,0,D,0,D,0,D,0,D,0,D,6000,D,1522,D,180,D,2,D,2,D,2,D,12424,D,48333,16182,48414,48088,16191,16157,39572,40130,290130,290130,289950,282878,4000,4000,0,0,36,36,0,0,290130,290130,0,0,52450,52124,52450,52124,0,0,12424,12121,0,0,0,0,0,0,0
03944034,1,0,0,2019,2018,2,.00000,.00000,1,-.0765,-.0765,23,D,.04150,.04090,0,D,0,D,0,D,0,D,0,D,0,D,0,D,840,D,250,D,0,D,0,D,0,D,0,D,0,D,0,-1108,0,0,-1104,-1119,0,0,4345,4345,4345,4239,0,0,0,0,0,0,0,0,4345,4345,0,0,0,0,0,0,0,0,0,0,504,492,0,0,0,0,0
03944064,1,0,0,2019,2018,0,.00000,.00000,1,-.0765,-.0765,03,D,.00000,.00000,0,D,0,D,0,D,0,D,18652,D,0,D,0,D,7100,D,0,D,0,D,0,D,0,D,0,D,35052,D,0,-25,0,0,-25,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5312,5312,42466,41434,0,0,0,0,0,0,0
03944104,1,0,0,2019,2018,3,.15300,.15300,2,.33060,.33060,47,D,.09960,.09960,0,D,47000,D,0,D,0,D,0,D,0,D,20520,D,0,D,15,D,0,D,2,D,3,D,3,D,0,D,-5352,1484,-5282,-5562,1500,1434,7191,7191,47000,47000,47000,45854,2379,2324,3621,3676,0,0,1661,1886,47000,47000,0,0,2379,2324,2379,2324,6000,6000,0,0,0,0,0,0,332,368,0
03944114,1,0,0,2019,2018,0,.15300,.15300,1,.22000,.22000,0,T,.00000,.00000,65000,D,0,D,0,D,0,D,0,D,0,D,0,D,150,D,0,D,0,D,0,D,0,D,0,D,2160,D,7568,0,7600,7475,0,0,9945,9945,65000,65000,0,0,0,0,0,0,0,0,0,0,65000,65000,0,0,7600,7475,7600,7475,0,0,0,0,0,0,0,0,0,0,0
03944134,1,0,0,2019,2018,1,.15300,.15300,1,.00000,.00000,05,D,.00920,.00920,15600,D,0,D,0,D,0,D,0,D,0,D,12828,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,-12,0,0,-11,-14,2387,2387,15600,15600,15600,15220,0,0,0,0,0,0,0,0,15600,15600,0,0,0,0,0,0,8802,8802,0,0,0,0,0,0,11,14,0
03944164,1,54,0,2019,2018,2,.15300,.15300,1,.22000,.22000,50,D,.06420,.06420,73000,D,0,D,0,D,0,D,0,D,0,D,0,D,6000,D,3584,D,0,D,0,D,1,D,2,D,6120,D,4129,3486,4175,3988,3492,3469,11169,11169,73124,73124,73124,71341,2500,2500,0,0,0,0,0,0,73124,73124,0,0,6675,6488,6675,6488,3633,3847,6120,5971,0,0,0,0,0,0,0
03944184,1,0,0,2019,2018,0,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,11694,D,0,D,0,D,1500,D,99,D,0,D,0,D,0,D,0,D,9012,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03944194,1,0,61,2019,2018,0,.15300,.15300,2,.10000,.10000,10,D,.00000,.00000,3500,D,37600,D,0,D,0,D,0,D,0,D,0,D,1400,D,1936,D,0,D,0,D,0,D,0,D,1140,D,1700,0,1710,1670,0,0,6288,6288,41100,41100,0,0,0,0,0,0,0,0,0,0,41100,41100,0,0,1710,1670,1710,1670,0,0,0,0,0,0,0,0,0,0,0
03944204,1,0,0,2019,2018,2,.15300,.15300,1,.12000,.12000,44,D,.00000,.00000,61945,D,0,D,0,D,0,D,0,D,0,D,11700,D,0,D,40,D,0,D,2,D,2,D,2,D,300,D,990,0,1001,954,0,0,9478,9478,61945,61945,0,0,4000,4000,0,0,0,0,0,0,61945,61945,0,0,5001,4954,5001,4954,0,0,0,0,0,0,0,0,0,0,0
