NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03891404,1,0,63,2018,2017,0,.15300,.15300,2,.12000,.15000,50,D,.07510,.07510,50000,D,39800,D,0,D,303,D,3636,D,0,D,11700,D,0,D,70,D,0,D,0,D,0,D,0,D,720,D,8733,3374,8733,6967,3374,3311,13739,13739,85234,85234,82143,80140,0,0,0,0,0,0,0,0,85234,85234,0,0,8733,6967,8733,6967,7221,7617,720,702,0,0,0,0,0,0,0
03891464,1,0,0,2018,2017,0,.15300,.15300,1,.12000,.14480,36,D,.02970,.03470,42700,D,0,D,0,D,2191,D,0,D,0,D,0,D,900,D,0,D,0,D,0,D,0,D,0,D,5096,D,4617,956,4617,3756,956,946,6533,6533,44891,44891,44891,43796,0,0,0,0,0,0,0,0,39795,44891,0,0,4617,3756,4617,3756,0,0,0,0,0,0,0,0,0,0,0
03891464,2,0,0,2018,2017,1,.00000,.00000,1,-.0765,-.0765,36,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03891494,1,0,0,2018,2017,7,.00000,.00000,1,-.4500,-.4500,16,D,-.0675,-.0675,0,D,0,D,0,D,0,D,0,D,0,D,10800,D,0,D,0,D,0,D,5,D,6,D,6,D,5,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03891504,1,0,0,2018,2017,2,.15300,.15300,1,.15980,.25980,11,D,.06000,.06000,22560,D,0,D,0,D,0,D,0,D,0,D,9300,D,0,D,213,D,0,D,0,D,1,D,1,D,640,D,-3620,434,-3620,-4238,434,411,3452,3452,22560,22560,22560,22010,106,456,894,1400,0,0,2726,2838,22560,22560,0,0,106,456,106,456,2300,2300,0,0,0,0,0,0,0,0,0
03891534,1,0,0,2018,2017,0,.15300,.15300,1,.12000,.15000,39,D,.03070,.03070,56000,D,0,D,0,D,0,D,0,D,0,D,5400,D,0,D,25,D,0,D,0,D,0,D,0,D,0,D,4794,1719,4794,3826,1719,1719,8568,8568,45467,45467,56000,54634,0,0,0,0,0,0,0,0,45467,45467,0,0,4794,3826,4794,3826,0,0,0,0,0,0,0,0,0,0,0
03891564,1,0,0,2018,2017,0,.15300,.15300,1,.07650,.17650,45,D,.00000,.00000,11000,D,0,D,0,D,0,D,0,D,0,D,3900,D,0,D,50,D,0,D,0,D,0,D,0,D,0,D,-247,0,-247,-327,0,0,1683,1683,11000,11000,11000,10732,0,0,0,0,0,0,307,327,11000,11000,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0
03891604,1,0,0,2018,2017,3,.00000,.00000,1,-.0765,-.0765,34,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,900,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,3600,3600,3600,3512,0,0,0,0,0,0,0,0,3600,3600,0,0,0,0,0,0,14000,14000,900,878,0,0,0,0,0,0,0
03891624,1,0,0,2018,2017,0,.00000,.00000,1,-.0765,-.0765,34,D,.00000,.00000,0,D,0,D,0,D,0,D,18234,D,0,D,0,D,40,D,48,D,0,D,0,D,0,D,0,D,1360,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8750,8750,1400,1366,0,0,0,0,0,0,0
03891634,1,0,0,2018,2017,2,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,16579,D,0,D,0,D,0,D,0,D,0,D,25,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
