NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04735444,1,63,0,2021,2020,1,.15300,.15300,1,-.0765,-.0765,19,D,-.0038,-.0038,0,D,0,D,0,D,0,D,12841,D,0,D,0,D,180,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,-500,0,0,0,0,0,0,0,0,0,500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04735484,1,27,0,2021,2020,0,.15300,.15300,1,.12000,.12000,0,T,.00000,.00000,35131,D,0,D,0,D,0,D,0,D,0,D,0,D,1700,D,0,D,0,D,0,D,0,D,0,D,1068,D,2530,0,2530,2511,0,0,5375,5375,35131,35131,0,0,0,0,0,0,0,0,0,0,35131,35131,0,0,2530,2511,2530,2511,0,0,0,0,0,0,0,0,0,0,0
04735544,1,53,44,2021,2020,2,.15300,.15300,2,.27980,.27980,05,D,.00000,.00000,45000,D,0,D,0,D,0,D,0,D,0,D,0,D,2400,D,0,D,0,D,1,D,1,D,1,D,5172,D,-894,0,-894,-2007,0,0,6885,6885,45000,45000,45000,43902,2029,3500,471,3500,0,0,423,497,45000,45000,0,0,2029,1990,2029,1990,9202,9202,7572,7387,0,0,0,0,0,0,0
04735544,2,23,0,2021,2020,0,.15300,.15300,1,.10000,.10000,05,D,.00780,.00780,15000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,260,-117,260,245,-117,-123,2295,2295,15000,15000,15000,14634,0,0,0,0,0,0,0,0,15000,15000,0,0,260,245,260,245,4601,4601,0,0,0,0,0,0,117,120,0
04735554,1,57,56,2021,2020,3,.15300,.15300,2,.22000,.22000,47,D,.05750,.05750,73301,D,35359,D,0,D,0,D,0,D,0,D,0,D,3000,D,2517,D,0,D,1,D,2,D,3,D,10324,D,5529,4948,5529,3380,4948,4916,16625,16625,108660,108660,108660,106010,4500,6500,0,6500,0,0,0,0,108660,108660,0,0,10029,9880,10029,9880,9000,9000,0,0,0,0,0,0,0,0,0
04735554,2,19,0,2021,2020,0,.15300,.15300,1,.10000,.10000,47,D,.05000,.05000,19090,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,669,553,669,654,553,543,2921,2921,19090,19090,19090,18624,0,0,0,0,0,0,0,0,19090,19090,0,0,669,654,669,654,4500,4500,0,0,0,0,0,0,0,0,0
04735554,3,15,0,2021,2020,0,.15300,.15300,8,.00000,.00000,47,D,.05000,.05000,12055,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,473,0,0,473,470,1844,1844,12055,12055,12055,11761,0,0,0,0,0,0,0,0,12055,12055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04735564,1,87,82,2021,2020,2,.15300,.15300,2,.00000,.00000,39,D,.00000,.00000,0,D,0,D,0,D,19500,D,34850,D,0,D,0,D,2100,D,743,D,0,D,0,D,0,D,0,D,0,D,0,0,0,-1000,0,0,0,0,21963,21963,0,0,0,1000,0,1000,0,0,0,0,21963,21963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04735584,1,61,68,2021,2020,2,.15300,.15300,2,-.0765,-.0765,34,D,.00000,.00000,0,D,0,D,0,D,5200,D,0,D,0,D,0,D,3100,D,520,D,0,D,0,D,0,D,0,D,3983,D,0,0,0,-1000,0,0,0,0,5200,5200,5200,5073,0,1000,0,1000,0,0,0,0,5200,5200,0,0,0,0,0,0,21500,21500,7083,6910,0,0,0,0,0,0,0
04735614,1,41,0,2021,2020,0,.15300,.15300,1,.10000,.10000,24,D,.07350,.06570,18000,D,0,D,0,D,0,D,0,D,0,D,13656,D,0,D,119,D,0,D,0,D,0,D,0,D,0,D,560,-1467,560,545,-1467,-1646,2754,2754,18000,18000,18000,17561,0,0,0,0,0,0,0,0,18000,18000,0,0,560,545,560,545,12400,12244,119,116,1665,1780,0,0,101,110,0
04735674,1,76,0,2021,2020,0,.15300,.15300,1,.24000,.24000,28,D,.06840,.06840,118000,D,0,D,0,D,0,D,0,D,0,D,0,D,1500,D,0,D,0,D,0,D,0,D,0,D,4128,D,19028,6427,19028,18934,6427,6389,18054,18054,118000,118000,118000,115122,0,0,0,0,0,0,0,0,118000,118000,0,0,19028,18934,19028,18934,8650,8650,0,0,0,0,0,0,0,0,0
