NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04760673,1,42,41,2021,2020,2,.15300,.15300,2,.12000,.12000,05,D,.06000,.06000,40000,D,40000,D,0,D,0,D,0,D,0,D,29440,D,0,D,170,D,0,D,2,D,2,D,2,D,0,D,531,668,2230,191,752,651,12240,12240,80010,80010,80010,78059,4000,6000,0,6000,0,0,0,0,80010,80010,0,0,6230,6191,6230,6191,9202,9202,170,166,0,0,0,0,0,0,0
04760693,1,41,36,2021,2020,0,.15300,.15300,2,.22000,.22000,44,D,.00000,.00000,83000,D,34000,D,0,D,0,D,0,D,0,D,0,D,2300,D,3024,D,0,D,0,D,0,D,0,D,3024,D,11740,0,11864,11715,0,0,17901,17901,117000,117000,0,0,0,0,0,0,0,0,0,0,117000,117000,0,0,11864,11715,11864,11715,0,0,0,0,0,0,0,0,0,0,0
04760763,1,50,61,2021,2020,0,.03800,.03800,2,.35000,.35000,12,D,.11000,.11000,310000,D,156000,D,0,D,0,D,0,D,0,D,0,D,8600,D,3051,D,0,D,0,D,0,D,0,D,0,D,103505,39032,104010,103404,39282,38982,49608,50649,466000,466000,466000,454634,0,0,0,0,0,0,0,0,466000,466000,0,0,104010,103404,104010,103404,4400,4400,0,0,0,0,0,0,0,0,0
04760813,1,65,0,2021,2020,2,.15300,.15300,1,.24000,.24000,05,D,.09300,.09300,0,D,0,D,0,D,0,D,12954,D,0,D,0,D,0,D,297,D,0,D,0,D,0,D,0,D,0,D,13417,2828,13505,13400,2961,2802,0,0,111411,111411,100400,97951,1000,1000,0,1000,0,0,0,0,111411,111411,0,0,14505,14400,14505,14400,9202,9202,297,290,0,0,0,0,0,0,0
04760873,1,53,58,2021,2020,2,.15300,.15300,2,.22000,.22000,07,D,.07070,.07080,34000,D,31200,D,0,D,20000,D,0,D,0,D,16800,D,0,D,0,D,0,D,1,D,2,D,2,D,0,D,4599,4895,6390,4241,4948,4885,9976,9976,110300,110300,105277,102562,4000,6000,0,6000,0,0,0,0,110300,110300,0,0,10390,10241,10390,10241,0,0,0,0,0,0,0,0,0,0,0
04760883,1,43,0,2021,2020,2,.15300,.15300,1,.22000,.22000,22,D,.05000,.05000,98000,D,0,D,0,D,0,D,0,D,0,D,0,D,5000,D,942,D,0,D,0,D,1,D,1,D,15744,D,6868,4165,7744,6692,4180,4162,14994,14994,98000,98000,98000,95610,2500,3500,0,3500,0,0,0,0,82256,82256,0,0,10244,10192,10244,10192,0,0,0,0,0,0,0,0,0,0,0
04760883,2,18,0,2021,2020,0,.15300,.15300,8,.00000,.00000,22,D,.00000,.00000,6757,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,1034,1034,6757,6757,6757,6592,0,0,0,0,0,0,0,0,6757,6757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04760923,1,53,0,2021,2020,0,.15300,.15300,1,.22000,.22000,23,D,.04250,.04250,76000,D,0,D,0,D,0,D,0,D,0,D,0,D,4000,D,30,D,0,D,0,D,0,D,0,D,4020,D,9554,2992,9616,9542,2996,2991,11628,11628,75246,75246,75246,73411,0,0,0,0,0,0,0,0,75246,75246,0,0,9616,9542,9616,9542,0,0,0,0,0,0,0,0,0,0,0
04760963,1,31,0,2021,2020,0,.15300,.15300,1,.22000,.22000,10,D,.00000,.00000,55000,D,0,D,0,D,0,D,0,D,0,D,0,D,2600,D,100,D,0,D,0,D,0,D,0,D,4896,D,5054,0,5116,5041,0,0,8415,8415,54790,54790,0,0,0,0,0,0,0,0,0,0,54790,54790,0,0,5116,5041,5116,5041,0,0,0,0,0,0,0,0,0,0,0
04761053,1,33,0,2021,2020,0,.15300,.15300,1,.12000,.12000,10,D,.00000,.00000,14000,D,0,D,0,D,0,D,0,D,0,D,1800,D,0,D,80,D,0,D,0,D,0,D,0,D,240,D,1375,0,1392,1372,0,0,2142,2142,25643,25643,0,0,0,0,0,0,0,0,0,0,25643,25643,0,0,1392,1372,1392,1372,0,0,0,0,0,0,0,0,0,0,0
04761073,1,35,36,2021,2020,2,.15300,.15300,2,.00000,.00000,11,D,.03000,.03000,24000,D,0,D,0,D,0,D,0,D,0,D,10200,D,0,D,0,D,0,D,1,D,2,D,2,D,240,D,-11435,85,-8710,-11980,98,82,3672,3672,24000,24000,24000,23415,0,6000,2800,6000,0,0,5910,5980,24000,24000,0,0,0,0,0,0,6000,6000,0,0,0,0,0,0,0,0,0
04761103,1,79,75,2021,2020,2,.15300,.15300,2,.00000,.00000,05,D,-.0647,-.0647,0,D,0,D,0,D,560,D,49584,D,0,D,0,D,10000,D,112,D,0,D,0,D,0,D,0,D,1200,D,-833,0,0,-1000,0,0,0,0,760,760,760,741,0,1000,0,1000,0,0,0,0,760,760,0,0,0,0,0,0,9202,9202,10335,10075,0,0,0,0,0,0,0
04761183,1,74,69,2021,2020,0,.15300,.15300,2,.22200,.22200,23,D,.00000,.00000,2081,D,41522,D,0,D,0,D,32449,D,0,D,0,D,7000,D,28,D,0,D,0,D,0,D,0,D,2620,D,3874,0,3907,3868,0,0,6671,6671,63247,63247,3706,2640,0,0,0,0,0,0,0,0,63247,63247,0,0,3907,3868,3907,3868,40000,40000,0,0,0,0,0,0,0,0,0
04761263,1,75,0,2021,2020,0,.15300,.15300,1,.00000,.00000,12,D,.00000,.00000,0,D,0,D,0,D,0,D,16991,D,0,D,12000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,-214,0,0,-210,-215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2200,304,300,0,0,0,0,0,0,0
04761343,1,46,0,2021,2020,0,.15300,.15300,1,.12000,.12000,05,D,.06000,.06000,43000,D,0,D,0,D,0,D,0,D,0,D,14880,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3458,905,3475,3455,939,898,6579,6579,43000,43000,43000,41951,0,0,0,0,0,0,0,0,43000,43000,0,0,3475,3455,3475,3455,4601,4601,0,0,0,0,0,0,0,0,0
04761353,1,29,0,2021,2020,0,.15300,.15300,1,.12000,.12000,06,D,.04550,.04550,30000,D,0,D,0,D,0,D,0,D,0,D,17424,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1898,795,1915,1895,801,794,4590,4590,30000,30000,30000,29268,0,0,0,0,0,0,0,0,30000,30000,0,0,1915,1895,1915,1895,0,0,0,0,0,0,0,0,0,0,0
