QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20191,03892244,51,0,1,530,D,1,D,25,D,12,D,
20191,03892244,52,0,1,210,D,1,D,20,D,12,D,
20191,03892244,53,0,1,355,D,1,D,11,D,13,D,
20191,03892254,27,0,1,520,D,1,D,11,D,10,D,
20191,03892294,22,0,1,355,D,1,D,13,D,13,D,1
20191,03892294,23,0,1,370,D,1,D,60,D,10,D,
20191,03892294,24,0,1,410,D,1,D,25,D,10,D,
20191,03892294,25,0,1,410,D,1,D,25,D,11,D,
20191,03892294,26,0,1,410,D,1,D,25,D,12,D,
20191,03892294,27,0,2,210,D,1,D,20,D,10,D,
20191,03892304,31,0,1,355,D,1,D,9,D,13,D,
20191,03892354,23,0,1,800,D,1,D,175,D,13,D,
20191,03892354,24,0,1,150,D,1,D,55,D,10,D,
20191,03892354,25,0,1,150,D,1,D,55,D,11,D,
20191,03892354,26,0,1,150,D,1,D,55,D,12,D,
20191,03892354,27,0,2,610,D,1,D,100,D,10,D,
20191,03892364,31,0,1,355,D,1,D,5,D,13,D,
20191,03892414,17,0,1,520,D,1,D,35,D,11,D,1
20191,03892424,25,0,1,520,D,1,D,20,D,11,D,
20191,03892424,26,0,1,520,D,1,D,20,D,12,D,
20191,03892424,27,0,2,520,D,1,D,20,D,10,D,
20191,03892564,37,0,1,830,D,1,D,70,D,13,D,2
20191,03892564,38,0,1,830,D,1,D,300,D,13,D,2
20191,03892564,39,0,1,700,D,1,D,75,D,12,D,
20191,03892674,29,0,1,355,D,1,D,10,D,13,D,
20191,03892774,22,0,1,210,D,1,D,15,D,12,D,
20191,03892774,23,0,1,310,D,1,D,75,D,12,D,
20191,03892774,24,0,1,355,D,1,D,1,D,13,D,
20191,03892774,25,0,2,600,D,1,D,60,D,10,D,
20191,03892774,26,0,2,530,D,1,D,100,D,10,D,
20191,03892824,22,0,1,355,D,1,D,16,D,13,D,
20191,03892834,52,0,1,830,D,1,D,125,D,13,D,
20191,03892834,53,0,1,355,D,1,D,12,D,13,D,
20191,03892844,60,0,1,610,D,1,D,150,D,10,D,
20191,03892844,61,0,1,840,D,1,D,60,D,11,D,
20191,03892844,62,0,1,210,D,1,D,90,D,13,D,
20191,03892844,63,0,1,530,D,1,D,186,D,12,D,
20191,03892844,64,0,1,310,D,1,D,5,D,10,D,
20191,03892844,65,0,1,310,D,1,D,5,D,11,D,
20191,03892844,66,0,1,310,D,1,D,5,D,12,D,
20191,03892844,67,0,1,320,D,1,D,50,D,12,D,2
20191,03892844,68,0,1,330,D,1,D,10,D,13,D,
20191,03892924,8,0,1,355,D,1,D,5,D,12,D,
20191,03892934,28,0,1,840,D,1,D,30,D,10,D,
20191,03892934,29,0,1,150,D,1,D,30,D,10,D,
20191,03892934,30,0,1,320,D,1,D,30,D,11,D,
20191,03892934,31,0,1,700,D,1,D,25,D,13,D,
20191,03892934,32,0,1,355,D,1,D,12,D,13,D,
20191,03893014,13,0,1,355,D,1,D,9,D,13,D,
20191,03893054,45,0,1,610,D,1,D,130,D,10,D,
20191,03893054,46,0,1,520,D,1,D,75,D,10,D,
20191,03893054,47,0,1,520,D,1,D,75,D,11,D,
20191,03893054,48,0,1,520,D,1,D,75,D,12,D,
20191,03893054,49,0,1,355,D,1,D,15,D,13,D,
20191,03893054,50,0,1,330,D,1,D,20,D,13,D,
20191,03893054,51,0,2,520,D,1,D,60,D,10,D,
20191,03893074,18,0,1,520,D,1,D,100,D,12,D,
20191,03893074,19,0,1,330,D,1,D,14,D,13,D,
20191,03893084,24,0,1,830,D,1,D,150,D,11,D,1
20191,03893084,25,0,1,520,D,1,D,20,D,12,D,2
20191,03893084,26,0,1,210,D,1,D,30,D,12,D,2
20191,03893084,27,0,1,210,D,1,D,15,D,13,D,1
20191,03893084,28,0,1,330,D,1,D,8,D,13,D,
20191,03893084,29,0,1,355,D,1,D,1,D,13,D,
20191,03893084,30,0,1,355,D,1,D,12,D,13,D,
20191,03893144,10,0,1,150,D,1,D,10,D,10,D,
20191,03893144,11,0,1,150,D,1,D,10,D,11,D,
20191,03893144,12,0,1,150,D,1,D,10,D,12,D,
20191,03893164,13,0,1,355,D,1,D,15,D,13,D,
20191,03893164,14,0,1,355,D,1,D,12,D,13,D,
20191,03893214,27,0,1,500,D,1,D,500,D,10,D,
20191,03893234,37,0,1,500,D,1,D,283,D,11,D,
20191,03893234,38,0,1,520,D,1,D,30,D,12,D,
20191,03893234,39,0,1,150,D,1,D,30,D,12,D,
20191,03893234,40,0,1,210,D,1,D,400,D,12,D,
20191,03893234,41,0,1,310,D,1,D,80,D,12,D,
20191,03893234,42,0,1,370,D,1,D,180,D,12,D,
20191,03893234,43,0,1,330,D,1,D,15,D,13,D,
20191,03893264,12,0,1,355,D,1,D,13,D,13,D,
20191,03893284,47,0,1,840,D,1,D,56,D,10,D,
20191,03893334,39,0,1,150,D,1,D,50,D,12,D,
20191,03893334,40,0,1,355,D,1,D,12,D,13,D,
20191,03893364,21,0,1,150,D,1,D,165,D,12,D,
20191,03893364,22,0,1,520,D,1,D,40,D,10,D,
20191,03893364,23,0,1,520,D,1,D,40,D,11,D,
20191,03893364,24,0,1,520,D,1,D,40,D,12,D,
20191,03893384,12,0,1,610,D,1,D,200,D,10,D,
20191,03893384,13,0,1,610,D,1,D,200,D,11,D,
20191,03893384,14,0,1,610,D,1,D,200,D,12,D,
20191,03893394,22,0,1,355,D,1,D,7,D,13,D,
20191,03893394,23,0,2,530,D,1,D,200,D,10,D,
20191,03893424,23,0,1,330,D,1,D,10,D,13,D,
20191,03893424,24,0,1,340,D,1,D,60,D,11,D,
20191,03893424,25,0,1,340,D,1,D,15,D,12,D,
20191,03893424,26,0,2,210,D,1,D,10,D,10,D,1
20191,03893474,26,0,1,210,D,1,D,22,D,13,D,
20191,03893484,18,0,1,355,D,1,D,15,D,13,D,
20191,03893504,29,0,1,520,D,1,D,40,D,11,D,
20191,03893594,31,0,1,150,D,1,D,37,D,12,D,
20191,03893594,32,0,2,610,D,1,D,10,D,10,D,
20191,03893604,26,0,1,830,D,1,D,120,D,11,D,
20191,03893604,27,0,1,840,D,1,D,120,D,10,D,
20191,03893624,19,0,1,830,D,1,D,21,D,13,D,
20191,03893644,34,0,1,830,D,1,D,51,D,13,D,
20191,03893644,35,0,1,520,D,1,D,7,D,10,D,
20191,03893644,36,0,1,520,D,1,D,7,D,11,D,
20191,03893644,37,0,1,520,D,1,D,14,D,12,D,
20191,03893644,38,0,1,160,D,1,D,10,D,11,D,
20191,03893654,43,0,1,830,D,1,D,89,D,13,D,
20191,03893654,44,0,1,610,D,1,D,49,D,12,D,
20191,03893654,45,0,1,500,D,1,D,200,D,12,D,
20191,03893654,46,0,1,530,D,1,D,125,D,12,D,
20191,03893654,47,0,1,355,D,1,D,15,D,13,D,
20191,03893654,48,0,1,355,D,1,D,10,D,13,D,
20191,03893654,49,0,1,330,D,1,D,6,D,13,D,
20191,03893684,54,0,1,830,D,1,D,550,D,11,D,
20191,03893684,55,0,1,840,D,1,D,119,D,10,D,
20191,03893684,56,0,1,820,D,1,D,75,D,11,D,
20191,03893684,57,0,1,210,D,1,D,15,D,13,D,
20191,03893824,37,0,1,830,D,1,D,20,D,13,D,
20191,03893824,38,0,2,840,D,1,D,15,D,10,D,
20191,03893854,33,0,1,330,D,1,D,20,D,13,D,
20191,03893854,34,0,1,355,D,1,D,15,D,13,D,
20191,03893854,35,0,1,355,D,1,D,32,D,13,D,
20191,03893874,16,0,1,830,D,1,D,55,D,13,D,
20191,03893874,17,0,1,610,D,1,D,85,D,12,D,
20191,03893874,18,0,1,610,D,1,D,85,D,11,D,
20191,03893874,19,0,1,520,D,1,D,15,D,10,D,
20191,03893874,20,0,1,520,D,1,D,15,D,11,D,
20191,03893874,21,0,1,520,D,1,D,15,D,12,D,
20191,03893874,22,0,1,500,D,1,D,100,D,10,D,
20191,03893874,23,0,1,330,D,1,D,3,D,13,D,
20191,03893874,24,0,2,610,D,1,D,100,D,10,D,
20191,03893894,37,0,1,610,D,1,D,56,D,10,D,
20191,03893894,38,0,1,610,D,1,D,56,D,11,D,
20191,03893894,39,0,1,610,D,1,D,56,D,12,D,
20191,03893894,40,0,1,520,D,1,D,15,D,12,D,
20191,03893944,45,0,1,150,D,1,D,33,D,12,D,1
20191,03893944,46,0,1,150,D,1,D,33,D,11,D,1
20191,03893944,47,0,1,150,D,1,D,33,D,10,D,2
20191,03893944,48,0,1,210,D,1,D,30,D,12,D,2
20191,03893944,49,0,1,355,D,1,D,12,D,13,D,
20191,03893944,50,0,2,160,D,1,D,5,D,10,D,
20191,03893944,51,0,2,150,D,1,D,33,D,10,D,
20191,03893954,15,0,1,355,D,1,D,11,D,13,D,2
20191,03893984,22,0,1,355,D,1,D,13,D,13,D,
20191,03894014,33,0,1,830,D,1,D,20,D,13,D,
20191,03894014,34,0,1,520,D,1,D,35,D,10,D,
20191,03894014,35,0,1,520,D,1,D,35,D,12,D,
20191,03894014,36,0,1,355,D,1,D,10,D,13,D,
20191,03894014,37,0,1,410,D,1,D,65,D,12,D,
20191,03894084,35,0,1,500,D,1,D,50,D,12,D,
20191,03894084,36,0,1,370,D,1,D,100,D,12,D,
20191,03894084,37,0,1,355,D,1,D,14,D,13,D,1
20191,03894104,29,0,1,355,D,1,D,13,D,13,D,
20191,03894104,30,0,1,355,D,1,D,1,D,13,D,
20191,03894104,31,0,1,355,D,1,D,100,D,13,D,
20191,03894114,30,0,1,830,D,1,D,60,D,13,D,
20191,03894114,31,0,1,210,D,1,D,15,D,13,D,
20191,03894224,23,0,1,840,D,1,D,55,D,12,D,
20191,03894224,24,0,1,310,D,1,D,25,D,12,D,
20191,03894224,25,0,2,830,D,1,D,199,D,10,D,
20191,03894234,13,0,1,520,D,1,D,21,D,10,D,
20191,03894244,32,0,1,520,D,1,D,15,D,11,D,2
20191,03894244,33,0,1,520,D,1,D,15,D,12,D,2
20191,03894244,34,0,1,150,D,1,D,15,D,10,D,1
20191,03894244,35,0,2,520,D,1,D,60,D,10,D,
20191,03894254,13,0,1,830,D,1,D,40,D,13,D,1
20191,03894254,14,0,1,700,D,1,D,20,D,13,D,
20191,03894254,15,0,1,355,D,1,D,12,D,13,D,
20191,03894254,16,0,1,355,D,1,D,10,D,13,D,
20191,03894294,17,0,1,520,D,1,D,48,D,11,D,2
20191,03894294,18,0,1,520,D,1,D,48,D,12,D,2
20191,03894354,26,0,1,520,D,1,D,110,D,12,D,
20191,03894374,28,0,1,500,D,1,D,100,D,10,D,
20191,03894374,29,0,1,150,D,1,D,141,D,10,D,
20191,03894374,30,0,1,150,D,1,D,141,D,11,D,
20191,03894374,31,0,1,150,D,1,D,141,D,12,D,
20191,03894374,32,0,1,210,D,1,D,104,D,11,D,
20191,03894374,33,0,2,520,D,1,D,20,D,10,D,2
20191,03894374,34,0,2,150,D,1,D,130,D,10,D,3
20191,03894514,9,0,1,355,D,1,D,40,D,13,D,
20191,03894514,10,0,2,520,D,1,D,22,D,10,D,
20191,03894554,29,0,1,830,D,1,D,10,D,13,D,
20191,03894574,18,0,1,520,D,1,D,17,D,11,D,
20191,03894574,19,0,1,210,D,1,D,40,D,12,D,
20191,03894604,34,0,1,340,D,1,D,25,D,12,D,1
20191,03894624,46,0,1,520,D,1,D,56,D,12,D,
20191,03894624,47,0,1,160,D,1,D,60,D,12,D,
20191,03894664,35,0,2,830,D,1,D,142,D,10,D,
20191,03894674,30,0,1,500,D,1,D,15,D,12,D,
20191,03894674,31,0,1,500,D,2,D,15,D,12,D,
20191,03894674,32,0,1,330,D,1,D,10,D,13,D,
20191,03894674,33,0,1,370,D,1,D,19,D,12,D,
20191,03894674,34,0,1,355,D,1,D,33,D,13,D,
20191,03894734,47,0,1,830,D,1,D,30,D,13,D,
20191,03894734,48,0,1,830,D,1,D,119,D,13,D,
20191,03894734,49,0,1,840,D,1,D,99,D,11,D,
20191,03894734,50,0,1,520,D,1,D,40,D,10,D,
20191,03894734,51,0,1,520,D,1,D,40,D,11,D,
20191,03894734,52,0,1,520,D,1,D,40,D,12,D,
20191,03894734,53,0,1,530,D,1,D,51,D,12,D,
20191,03894734,54,0,1,530,D,1,D,80,D,12,D,
20191,03894734,55,0,1,210,D,1,D,15,D,13,D,
20191,03894734,56,0,1,355,D,1,D,8,D,13,D,1
20191,03894774,15,0,1,355,D,1,D,12,D,13,D,
20191,03894784,32,0,1,830,D,1,D,20,D,13,D,
20191,03894784,33,0,1,355,D,1,D,14,D,13,D,
20191,03894854,29,0,1,355,D,1,D,13,D,13,D,
20191,03894884,43,0,1,210,D,1,D,7,D,13,D,
20191,03894884,44,0,1,310,D,1,D,28,D,12,D,
20191,03894884,45,0,1,355,D,1,D,8,D,10,D,
20191,03894884,46,0,1,355,D,1,D,8,D,11,D,
20191,03894884,47,0,1,355,D,1,D,8,D,12,D,
20191,03894884,48,0,2,520,D,1,D,21,D,10,D,
20191,03894914,42,0,1,150,D,1,D,127,D,12,D,
20191,03894914,43,0,1,340,D,1,D,48,D,11,D,
20191,03894944,18,0,1,840,D,1,D,130,D,12,D,
20191,03894944,19,0,1,355,D,1,D,11,D,13,D,
20191,03894944,20,0,1,355,D,1,D,14,D,13,D,
20191,03894994,44,0,1,520,D,1,D,100,D,11,D,
20191,03895034,32,0,1,830,D,1,D,70,D,13,D,
20191,03895034,33,0,1,610,D,1,D,120,D,12,D,
20191,03895034,34,0,1,520,D,1,D,100,D,11,D,
20191,03895034,35,0,1,520,D,1,D,100,D,10,D,
20191,03895034,36,0,1,520,D,1,D,100,D,12,D,
20191,03895034,37,0,1,330,D,1,D,50,D,13,D,
20191,03895094,8,0,1,210,D,1,D,5,D,11,D,
20191,03895114,39,0,1,310,D,1,D,40,D,10,D,
20191,03895194,15,0,1,840,D,1,D,100,D,12,D,
20191,03895224,12,0,1,330,D,1,D,10,D,13,D,
20191,03895224,13,0,2,520,D,1,D,30,D,10,D,
20191,03895244,37,0,1,830,D,1,D,60,D,13,D,
20191,03895244,38,0,1,840,D,1,D,10,D,10,D,
20191,03895244,39,0,1,840,D,1,D,10,D,11,D,
20191,03895244,40,0,1,840,D,1,D,10,D,12,D,
20191,03895244,41,0,1,520,D,1,D,30,D,11,D,
20191,03895254,30,0,1,355,D,1,D,11,D,13,D,
20191,03895314,37,0,1,210,D,1,D,14,D,13,D,
20191,03895314,38,0,1,210,D,1,D,14,D,13,D,
20191,03895314,39,0,1,340,D,1,D,12,D,10,D,
20191,03895314,40,0,1,340,D,1,D,12,D,11,D,
20191,03895314,41,0,1,340,D,1,D,12,D,12,D,
20191,03895334,36,0,1,210,D,1,D,150,D,12,D,
20191,03895334,37,0,1,160,D,1,D,20,D,10,D,
20191,03895334,38,0,1,310,D,1,D,100,D,11,D,1
20191,03895334,39,0,1,340,D,1,D,60,D,11,D,
20191,03895334,40,0,1,355,D,1,D,14,D,13,D,
20191,03895334,41,0,2,840,D,1,D,14,D,10,D,
20191,03895404,32,0,1,840,D,1,D,30,D,10,D,
20191,03895454,19,0,1,355,D,1,D,4,D,12,D,
20191,03895484,41,0,1,830,D,1,D,37,D,13,D,
20191,03895484,42,0,1,840,D,1,D,50,D,12,D,
20191,03895484,43,0,1,520,D,1,D,44,D,10,D,
20191,03895484,44,0,1,520,D,1,D,44,D,11,D,
20191,03895484,45,0,1,520,D,1,D,44,D,12,D,
20191,03895484,46,0,1,355,D,1,D,10,D,13,D,
20191,03895484,47,0,1,355,D,1,D,12,D,13,D,
20191,03895514,23,0,1,520,D,1,D,35,D,11,D,
20191,03895514,24,0,1,210,D,1,D,32,D,13,D,
20191,03895514,25,0,1,150,D,1,D,48,D,12,D,
20191,03895514,26,0,1,150,D,1,D,48,D,11,D,
20191,03895514,27,0,1,330,D,1,D,11,D,13,D,
20191,03895514,28,0,1,355,D,1,D,10,D,13,D,
20191,03895514,29,0,1,355,D,1,D,10,D,13,D,
20191,03895514,30,0,2,150,D,1,D,48,D,10,D,
20191,03895554,17,0,1,610,D,1,D,40,D,10,D,
20191,03895554,18,0,1,610,D,1,D,60,D,11,D,
20191,03895554,19,0,1,610,D,1,D,60,D,12,D,
20191,03895554,20,0,1,520,D,1,D,10,D,10,D,
20191,03895554,21,0,1,520,D,1,D,10,D,11,D,
20191,03895554,22,0,1,520,D,1,D,10,D,12,D,
20191,03895554,23,0,1,330,D,1,D,10,D,13,D,
20191,03895554,24,0,1,355,D,1,D,10,D,13,D,1
20191,03895554,25,0,2,520,D,1,D,22,D,10,D,
20191,03895604,18,0,1,355,D,1,D,10,D,13,D,
20191,03895684,32,0,1,150,D,1,D,25,D,11,D,
20191,03895684,33,0,1,150,D,1,D,25,D,12,D,
20191,03895684,34,0,2,150,D,1,D,25,D,10,D,
20191,03895704,23,0,1,355,D,1,D,10,D,13,D,
20191,03895704,24,0,1,355,D,1,D,8,D,13,D,
20191,03895804,27,0,1,355,D,1,D,13,D,13,D,
20191,03895824,28,0,1,330,D,1,D,20,D,13,D,
20191,03895824,29,0,1,355,D,1,D,5,D,10,D,
20191,03895824,30,0,1,355,D,1,D,5,D,12,D,
20191,03895854,21,0,1,160,D,1,D,40,D,10,D,
20191,03895854,22,0,1,160,D,1,D,40,D,11,D,
20191,03895854,23,0,1,160,D,1,D,40,D,12,D,
20191,03895854,24,0,1,355,D,1,D,14,D,13,D,
20191,03895884,13,0,1,500,D,1,D,17,D,12,D,
20191,03895884,14,0,1,330,D,1,D,15,D,13,D,
20191,03895914,29,0,1,840,D,1,D,110,D,10,D,
20191,03895914,30,0,1,520,D,1,D,20,D,11,D,
