QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20191,04071181,30,0,1,11,D,60,D,,A,,H,500,D,1,D,2,D,500,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,04071181,30,1,1,11,D,,B,,A,43,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071181,30,2,1,11,D,,B,,A,17,E,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071181,31,0,1,11,D,215,D,,A,,H,500,D,2,F,2,D,500,D,140,D,,A,,A,,A,,A,,A,,A,,A
20191,04071181,31,1,1,11,D,,B,,A,43,E,100,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071181,31,2,1,11,D,,B,,A,16,E,367,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071181,31,3,1,11,D,,B,,A,55,E,370,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071181,31,4,1,11,D,,B,,A,101,E,380,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071181,32,0,1,11,D,60,D,,A,,H,500,D,1,D,2,D,500,D,370,D,,A,,A,,A,,A,,A,,A,,A
20191,04071181,32,1,1,11,D,,B,,A,8,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071181,32,2,1,11,D,,B,,A,14,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071181,32,3,1,11,D,,B,,A,38,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071191,18,0,1,11,D,64,D,,A,64,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071331,31,0,1,10,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071331,32,0,1,12,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071351,39,0,1,10,D,500,D,,A,500,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071381,43,0,1,11,D,200,D,,A,,H,500,D,1,D,2,D,160,D,500,D,100,D,,A,,A,,A,,A,,A,,A
20191,04071381,43,1,1,11,D,,B,,A,26,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071381,43,2,1,11,D,,B,,A,47,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071381,43,3,1,11,D,,B,,A,127,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071391,24,0,1,12,D,160,D,80,D,80,D,130,D,1,F,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071391,25,0,1,10,D,32,D,24,D,8,D,367,D,2,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071391,26,0,1,11,D,32,D,24,D,8,D,367,D,2,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071481,19,0,1,10,D,50,D,,A,50,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071501,39,0,1,10,D,35,D,,A,35,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071501,40,0,1,12,D,49,D,,A,,H,500,D,1,D,2,D,367,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,04071501,40,1,1,12,D,,B,,A,14,E,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071501,40,2,1,12,D,,B,,A,35,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071521,20,0,1,11,D,69,D,,A,69,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071531,37,0,1,11,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071531,38,0,1,10,D,6,D,,A,6,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071531,39,0,1,11,D,6,D,,A,6,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071531,40,0,1,12,D,6,D,,A,6,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071541,22,0,1,11,D,109,D,,A,109,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071541,23,0,1,11,D,50,D,,A,50,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071601,19,0,1,11,D,32,D,,A,32,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071611,39,0,1,10,D,20,D,,A,20,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071611,40,0,1,10,D,5,D,,A,5,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071611,41,0,1,12,D,5,D,,A,5,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071641,22,0,1,10,D,54,D,,A,54,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071651,28,0,1,12,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071651,29,0,1,11,D,20,D,,A,20,D,150,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071731,38,0,1,11,D,45,D,,A,45,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071731,39,0,1,10,D,800,D,,A,800,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071731,40,0,1,11,D,800,D,,A,800,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071731,41,0,1,12,D,800,D,,A,800,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071741,50,0,1,10,D,30,D,,A,30,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071771,29,0,1,11,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071801,20,0,1,11,D,55,D,,A,55,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071891,24,0,1,11,D,268,D,,A,268,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071891,25,0,1,11,D,45,D,,A,45,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071911,30,0,1,11,D,250,D,,A,250,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071911,31,0,1,12,D,1400,D,,A,1400,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071991,60,0,1,10,D,2100,D,,A,2100,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071991,61,0,1,11,D,380,D,,A,380,D,330,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071991,62,0,1,10,D,650,D,,A,650,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04071991,63,0,1,12,D,200,D,,A,200,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072021,21,0,1,12,D,4000,D,,A,4000,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072181,35,0,1,10,D,38,D,,A,38,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072181,36,0,1,12,D,13,D,,A,13,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072251,44,0,1,12,D,72,D,,A,,H,500,D,1,D,2,D,160,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,04072251,44,1,1,12,D,,B,,A,46,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072251,44,2,1,12,D,,B,,A,26,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072251,45,0,1,10,D,18,D,,A,18,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072251,46,0,1,11,D,18,D,,A,18,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072251,47,0,1,12,D,18,D,,A,18,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072271,29,0,1,11,D,400,D,,A,,H,500,D,2,D,2,D,380,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,04072271,29,1,1,11,D,,B,,A,280,E,380,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072271,29,2,1,11,D,,B,,A,120,E,100,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072321,19,0,1,11,D,3500,D,,A,3500,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072331,22,0,1,12,D,50,D,,A,,H,500,D,1,D,2,D,160,D,500,D,100,D,,A,,A,,A,,A,,A,,A
20191,04072331,22,1,1,12,D,,B,,A,16,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072331,22,2,1,12,D,,B,,A,28,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072331,22,3,1,12,D,,B,,A,6,E,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072421,21,0,1,11,D,16,D,,A,16,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072441,21,0,1,11,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072471,14,0,1,12,D,170,D,,A,,H,500,D,2,D,2,D,370,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,04072471,14,1,1,12,D,,B,,A,95,E,370,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072471,14,2,1,12,D,,B,,A,75,E,100,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072501,24,0,1,12,D,30,D,,A,30,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072521,26,0,1,10,D,120,D,,A,120,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072571,23,0,1,10,D,40,D,,A,40,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072571,24,0,1,11,D,40,D,,A,40,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072571,25,0,1,12,D,40,D,,A,40,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072611,26,0,1,10,D,650,D,,A,650,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072631,33,0,1,11,D,42,D,,A,42,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072631,34,0,1,10,D,65,D,,A,65,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072641,23,0,1,10,D,28,D,,A,28,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072641,24,0,1,10,D,178,D,,A,178,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072651,29,0,1,11,D,85,D,,A,85,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072651,30,0,1,12,D,300,D,,A,,H,500,D,1,D,2,D,110,D,140,D,100,D,,A,,A,,A,,A,,A,,A
20191,04072651,30,1,1,12,D,,B,,A,248,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072651,30,2,1,12,D,,B,,A,52,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072661,28,0,1,10,D,29,D,,A,29,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072761,45,0,1,10,D,86,D,,A,86,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072761,46,0,1,10,D,150,D,,A,150,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072791,38,0,1,12,D,500,D,,A,500,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072811,16,0,1,10,D,150,D,,A,150,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072821,46,0,1,12,D,537,D,,A,,H,500,D,2,D,2,D,380,D,110,D,100,D,,A,,A,,A,,A,,A,,A
20191,04072821,46,1,1,12,D,,B,,A,213,E,380,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
