QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20191,03891154,15,0,5,01,D,100,D,,A,3,D,,B,2011,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891174,14,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,3600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891224,22,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,1600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891244,19,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,390,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891284,55,0,5,01,D,100,D,,A,3,D,,B,1994,D,,A,,A,,A,5500,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20191,03891284,56,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,5000,F,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20191,03891384,13,0,5,01,D,100,D,,A,3,D,,B,1971,D,,A,,A,,A,990,D,,A,,A,,A,,A,2,D,0,D,,A,2,D,,A
20191,03891394,18,0,5,01,D,100,D,,A,3,D,05,D,2018,D,169200,D,10000,D,6000,D,3000,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20191,03891464,17,0,5,01,D,100,D,,A,3,D,04,D,2018,D,87500,D,17500,D,,C,900,F,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20191,03891604,17,0,5,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891624,13,0,5,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,40,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891634,12,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891634,13,0,5,02,D,400,D,,A,3,D,,B,1974,D,,A,,A,,A,8579,T,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20191,03891644,33,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,520,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891654,21,0,5,01,D,100,D,,A,3,D,,B,1998,D,,A,,A,,A,6000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891704,49,0,5,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,4400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20191,03891714,42,0,5,01,D,100,D,,A,3,D,07,D,2018,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,1,D,2,D,,A
20191,03891714,43,0,5,02,D,200,D,,A,3,D,,B,1989,D,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20191,03891714,44,0,5,03,D,300,D,,A,3,D,07,D,2018,D,,A,,A,,A,5400,F,2,D,,A,,A,,A,2,D,0,D,1,D,,A,,A
20191,03891754,22,0,5,01,D,100,D,,A,3,D,,B,1988,D,,A,,A,,A,740,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
