ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,2,D,1,D,1,D,5,D,2,D,,A,1,D,1,2,,1,D,D,A,D,01,,D,C,1,,A,D,2,D,,A,03891134,2,D,,A,,A,,A,900,F,HHP,5,1,14,,A,20191
0,,A,1,D,,A,4,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,26,D,D,1,,A,D,,A,,A,03891224,,A,,A,,A,,A,78,D,HHP,5,1,8,1,D,20191
0,,A,1,D,,A,4,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,14,D,D,1,,A,D,,A,,A,03891224,,A,,A,,A,,A,42,D,HHP,5,1,9,4,D,20191
0,1,D,1,D,,A,4,D,2,D,,A,1,D,3,1,,1,D,D,A,D,04,575,D,D,1,,A,D,2,D,,A,03891224,2,D,,A,,A,,A,1725,D,HHP,5,1,10,,A,20191
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,88,D,D,1,,A,D,,A,,A,03891244,1,D,,A,,A,,A,572,D,HHP,5,1,7,,A,20191
0,1,D,1,D,1,D,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,130,D,D,1,,A,D,,A,,A,03891244,1,D,,A,,A,,A,845,D,HHP,5,1,8,,A,20191
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,,D,C,1,,A,D,,A,,A,03891244,1,D,,A,,A,,A,840,F,HHP,5,1,9,,A,20191
0,2,D,,A,,A,2,D,2,D,,A,,A,1,1,,,D,D,A,C,02,,D,C,,,A,A,1,D,,A,03891254,1,D,,A,,A,,A,839,F,HHP,1,1,4,,A,20191
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,2,,1,D,D,A,D,04,456,D,D,1,,A,D,,A,,A,03891284,,A,,A,,A,,A,1368,D,HHP,5,1,22,5,D,20191
0,2,D,1,D,,A,1,D,3,D,,A,1,D,2,2,,1,D,D,A,D,04,139,D,D,1,,A,D,2,D,,A,03891284,2,D,2,D,,A,,A,417,D,HHP,5,1,23,,A,20191
