QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_
20222,04825374,5,0,1,110,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825604,5,0,1,190,D,02,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825654,5,0,1,190,D,02,D,151,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825724,4,0,1,190,D,13,D,167,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825754,2,0,1,190,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825764,4,0,1,110,D,01,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825764,5,0,1,110,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825844,10,0,1,220,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825844,11,0,1,190,D,02,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826034,3,0,1,200,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826124,5,0,1,190,D,13,D,116,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826364,4,0,1,110,D,13,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826434,3,0,1,200,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826544,8,0,1,190,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826544,9,0,1,130,D,03,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826664,4,0,1,200,D,02,D,147,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826664,5,0,1,190,D,01,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826704,5,0,1,190,D,13,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826794,5,0,1,190,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826794,6,0,1,120,D,04,D,174,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826794,7,0,1,120,D,03,D,255,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04827414,7,0,1,190,D,02,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04827724,2,0,1,190,D,03,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828394,13,0,1,190,D,03,D,380,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828544,12,0,1,190,D,04,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828734,8,0,1,220,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828864,3,0,1,190,D,04,D,84,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828884,3,0,1,110,D,04,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828904,3,0,1,110,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828904,4,0,1,190,D,03,D,47,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828904,5,0,1,190,D,04,D,119,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828934,5,0,1,190,D,04,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
