QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20222,04819874,17,0,5,01,D,100,D,.0472,D,22000,D,5,D,468,D,,B,,B,,B,,B,56,D,368,D,369,D,370,D,44,D,43,D,42,D,,A,06,D,2019,D,1,D,,A,11292,D,10924,D,10555,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04819904,18,0,5,01,D,100,D,.0400,D,150000,D,10,D,1519,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,0,D,0,D,0,D,,A,11,D,2016,D,2,D,,A,79971,D,78719,D,77463,D,01,D,1,D,,A,,A,0,D,0,D,0,D,1,D,2,D
20222,04821254,26,0,5,01,D,100,D,.0420,F,77000,F,15,F,1000,F,,B,,B,,B,,B,423,F,343,F,344,F,345,F,234,F,233,F,232,F,,A,06,F,2019,F,1,F,,A,66950,F,66607,F,66263,F,01,D,,C,,C,,C,,A,,A,,A,,C,,A
20222,04823094,18,0,5,01,D,100,D,.0472,D,30000,D,15,D,600,D,,B,,B,,B,,B,367,D,0,D,0,D,0,D,233,D,233,D,233,D,,A,06,D,2019,D,1,D,,A,30000,D,30000,D,30000,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04823304,23,0,5,01,D,100,D,.0371,D,30000,D,3,D,973,D,,B,,B,,B,,B,91,D,819,D,822,D,824,D,63,D,60,D,58,D,,A,01,D,2021,D,1,D,,A,20366,D,19547,D,18726,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04825724,25,0,5,01,D,100,D,.0371,D,100000,D,15,D,1435,D,,B,,B,,B,,B,710,D,0,D,0,D,0,D,725,D,725,D,725,D,,A,02,D,2021,D,1,D,,A,100000,D,100000,D,100000,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04825754,16,0,5,01,D,100,D,.0400,D,377000,D,1,D,1800,D,,B,,B,,B,,B,0,D,612,D,614,D,616,D,1188,D,1185,D,1183,D,,A,12,D,2018,D,1,D,,A,355648,D,355034,D,354417,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04825794,31,0,5,01,D,100,D,.0400,F,377000,F,1,F,1800,F,,B,,B,,B,,B,0,F,612,F,614,F,616,F,1188,F,1185,F,1183,F,,A,12,F,2018,F,1,F,,A,355648,F,355034,F,354417,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04829854,28,0,5,01,D,100,D,.0450,D,50000,D,15,D,382,D,,A,,A,,A,,A,0,D,114,D,115,D,115,D,86,D,85,D,85,D,,A,08,D,2019,D,2,D,,A,43821,D,43602,D,43383,D,01,D,1,D,,A,,A,300,D,200,D,200,D,1,D,2,D
20222,04829934,17,0,5,01,D,100,D,.0430,D,55000,D,15,D,427,D,,B,,B,,B,,B,12,D,222,D,223,D,223,D,193,D,192,D,192,D,,A,09,D,2021,D,1,D,,A,53903,D,53681,D,53458,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04833034,15,0,5,01,D,100,D,.0500,D,50000,D,20,D,330,D,,A,,A,,A,,A,0,D,124,D,125,D,125,D,206,D,205,D,205,D,,A,09,D,2021,D,1,D,,A,49387,D,49262,D,49138,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04833224,16,0,5,01,D,100,D,.0371,F,74000,F,15,F,537,F,,A,,A,,A,,A,0,F,314,F,315,F,316,F,223,F,222,F,221,F,,A,08,F,2021,F,1,F,,A,72136,F,71822,F,71507,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04834084,37,0,5,01,D,100,D,.0475,D,12399,D,10,D,130,D,,A,,A,,A,,A,0,D,103,D,103,D,104,D,27,D,27,D,26,D,,A,01,D,2017,D,1,D,,A,6828,D,6725,D,6622,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04841334,48,0,5,01,D,100,D,.0525,D,50000,D,5,D,536,D,,A,,A,,A,,A,0,D,320,D,322,D,323,D,217,D,215,D,214,D,,A,01,D,2022,D,1,D,,A,49044,D,48722,D,48399,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04842154,26,0,5,01,D,100,D,.0450,D,109000,D,10,D,1130,D,,A,,A,,A,,A,0,D,,A,721,D,724,D,,A,409,D,406,D,,A,04,D,2022,D,1,D,,A,,A,109000,D,108279,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04842484,28,0,5,01,D,100,D,.0371,D,230000,D,15,D,1700,D,,B,,B,,B,,B,32,D,996,D,999,D,1002,D,672,D,669,D,666,D,,A,02,D,2021,D,1,D,,A,217327,D,216331,D,215331,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04842484,29,0,5,02,D,400,D,.0490,F,,V,10,F,53,F,,A,,A,,A,,A,0,F,,V,,V,,V,76,F,75,F,75,F,,A,11,F,2021,F,2,F,,A,4902,F,4870,F,4837,F,01,D,,A,,A,,A,,V,,V,,V,1,D,2,D
20222,04842714,25,0,5,01,D,100,D,.0371,D,32000,D,15,D,377,D,,B,,B,,B,,B,145,D,136,D,136,D,137,D,96,D,96,D,95,D,,A,08,D,2021,D,1,D,,A,31060,D,30924,D,30787,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04845584,23,0,5,01,D,200,D,.0371,D,53000,D,8,D,639,D,,A,,A,,A,,A,0,D,493,D,495,D,496,D,146,D,144,D,143,D,,A,03,D,2021,D,1,D,,A,47200,D,46707,D,46213,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20222,04898814,13,0,5,01,D,100,D,.0420,D,77000,D,15,D,1000,D,,B,,B,,B,,B,423,D,343,D,344,D,345,D,234,D,233,D,232,D,,A,06,D,2019,D,1,D,,A,66950,D,66607,D,66263,D,01,D,,A,,A,,A,,A,,A,,A,,C,,A
