QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20222,04815104,19,0,1,5200,D,780,D,,A,3900,D,0,D,,A,,A,4420,D,0,D,,A,,A,,A,,A
20222,04815114,45,0,1,2275,D,455,D,650,D,390,D,0,D,,A,,A,1820,D,0,D,,A,,A,,A,,A
20222,04815124,43,0,1,2600,D,780,D,,A,325,D,450,D,,A,,A,1820,D,90,D,,A,,A,,A,,A
20222,04815134,23,0,1,1950,D,325,D,,A,0,D,0,D,,A,,A,1625,D,600,D,,A,,A,,A,,A
20222,04815154,27,0,1,1300,D,130,D,,A,390,D,0,D,,A,,A,1170,D,75,D,,A,,A,,A,,A
20222,04815204,47,0,1,2210,D,780,D,,A,325,D,0,D,,A,,A,1430,D,0,D,,A,,A,,A,,A
20222,04815264,76,0,1,5200,D,1625,D,,A,2600,D,750,D,,A,,A,3575,D,1200,D,,A,,A,,A,,A
20222,04815284,45,0,1,3770,D,520,D,,A,1300,D,240,D,,A,195,D,3250,D,240,D,,A,,A,,A,,A
20222,04815324,19,0,1,2030,F,,A,,A,962,F,0,D,,A,,A,1663,F,0,D,,A,,A,,A,,A
20222,04815334,13,0,1,1950,D,325,D,,A,390,D,0,D,,A,,A,1625,D,120,D,,A,,A,,A,,A
20222,04815344,41,0,1,1950,D,390,D,,A,195,D,0,D,,A,,A,1560,D,30,D,20,D,260,D,130,D,10,D
20222,04815384,22,0,1,5200,D,1300,D,,A,780,D,0,D,,A,,A,3900,D,150,D,,A,,A,,A,,A
20222,04815404,38,0,1,1300,D,260,D,,A,325,D,0,D,,A,,A,1040,D,120,D,,A,,A,,A,,A
20222,04815424,36,0,1,1950,D,260,D,,A,260,D,0,D,,A,,A,1690,D,0,D,,A,,A,,A,,A
20222,04815434,18,0,1,1300,D,390,D,,A,0,D,0,D,,A,,A,910,D,0,D,,A,,A,,A,,A
20222,04815454,27,0,1,7800,D,2600,D,2600,D,650,D,0,D,,A,,A,5200,D,0,D,,A,,A,,A,,A
20222,04815474,59,0,1,2730,D,390,D,,A,910,D,0,D,,A,,A,2340,D,0,D,70,D,910,D,,A,,A
20222,04815544,13,0,1,2600,D,1300,D,,A,780,D,0,D,,A,,A,1300,D,60,D,,A,,A,,A,,A
20222,04815584,15,0,1,3250,D,614,F,,A,520,D,0,D,,A,,A,2459,F,0,D,,A,,A,,A,,A
20222,04815614,35,0,1,975,D,325,D,,A,975,D,30,D,,A,,A,650,D,30,D,,A,,A,,A,,A
20222,04815634,20,0,1,1144,D,169,D,,A,260,D,0,D,,A,,A,975,D,60,D,,A,,A,,A,,A
20222,04815714,32,0,1,1495,D,455,D,,A,195,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20222,04815754,33,0,1,1625,D,0,D,,A,650,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20222,04815764,27,0,1,3900,D,1040,D,,A,0,D,0,D,,A,,A,2860,D,0,D,,A,,A,,A,,A
20222,04815784,40,0,1,2600,D,0,D,780,D,3250,D,0,D,,A,,A,2600,D,150,D,,A,,A,,A,,A
20222,04815814,35,0,1,650,D,65,D,,A,65,D,0,D,,A,,A,585,D,0,D,,A,,A,,A,,A
20222,04815834,30,0,1,1300,D,0,D,,A,0,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
20222,04815914,15,0,1,2600,D,195,D,,A,1950,D,0,D,,A,,A,2405,D,0,D,50,D,650,D,,A,,A
20222,04815924,59,0,1,3250,D,780,D,650,D,1300,D,0,D,,A,,A,2470,D,0,D,,A,,A,325,D,25,D
20222,04815934,16,0,1,520,D,0,D,,A,0,D,0,D,,A,,A,520,D,0,D,,A,,A,,A,,A
20222,04815944,24,0,1,3250,D,650,D,,A,0,D,0,D,,A,,A,2600,D,0,D,,A,,A,,A,,A
20222,04816004,23,0,1,1300,D,260,D,,A,0,D,88,F,,A,,A,1040,D,144,F,,A,,A,,A,,A
