QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20222,05030631,43,0,1,405,D,04,D,163,D,,A,,A,,A,,A
20222,05030751,26,0,1,400,D,03,D,40,D,,A,,A,,A,,A
20222,05030751,27,0,1,400,D,04,D,30,D,,A,,A,,A,,A
20222,05030791,31,0,1,400,D,03,D,37,D,,A,,A,,A,,A
20222,05030791,32,0,1,400,D,03,D,37,D,,A,,A,,A,,A
20222,05030801,33,0,1,420,D,03,D,320,D,,A,,A,,A,,A
20222,05030841,24,0,1,410,D,04,D,35,D,,A,,A,,A,,A
20222,05030891,23,0,1,430,D,02,D,,H,405,D,415,D,,A,,A
20222,05030891,23,1,1,405,D,02,D,378,E,,A,,A,,A,,A
20222,05030891,23,2,1,420,D,02,D,222,E,,A,,A,,A,,A
20222,05030921,46,0,1,400,D,03,D,30,D,,A,,A,,A,,A
20222,05030981,26,0,1,420,D,04,D,95,D,,A,,A,,A,,A
20222,05031151,11,0,1,410,D,03,D,25,D,,A,,A,,A,,A
20222,05031461,13,0,1,410,D,03,D,35,D,,A,,A,,A,,A
20222,05031491,26,0,1,400,D,03,D,78,D,,A,,A,,A,,A
20222,05031491,27,0,1,400,D,03,D,78,D,,A,,A,,A,,A
20222,05031611,40,0,1,430,D,03,D,,H,425,D,405,D,415,D,,A
20222,05031611,40,1,1,420,D,03,D,9,E,,A,,A,,A,,A
20222,05031611,40,2,1,420,D,03,D,41,E,,A,,A,,A,,A
20222,05031971,17,0,1,430,D,04,D,,H,405,D,415,D,,A,,A
20222,05031971,17,1,1,420,D,04,D,1502,E,,A,,A,,A,,A
20222,05032251,38,0,1,420,D,03,D,146,D,,A,,A,,A,,A
20222,05032271,28,0,1,410,D,03,D,20,D,,A,,A,,A,,A
20222,05032413,34,0,1,420,D,02,D,80,D,,A,,A,,A,,A
20222,05032491,22,0,1,410,D,04,D,200,D,,A,,A,,A,,A
20222,05032691,33,0,1,430,D,04,D,,H,410,D,405,D,,A,,A
