QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CRMCODEA,CRMC_DEA,ADVMATX,ADVMATX_,MATNSPCX,MATN_PCX,CRMCDA1,CRMCDA1_,CRMCDA2,CRMCDA2_,CRMCDA3,CRMCDA3_,CRMCDA4,CRMCDA4_,CRMCDA5,CRMCDA5_,CRMCDA6,CRMCDA6_,CRMCDA7,CRMCDA7_,CRMCDA8,CRMCDA8_,CRMCDA9,CRMCDA9_
20222,04818154,7,0,1,,A,,A,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818734,2,0,1,160,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820104,4,0,1,300,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821474,3,0,1,,A,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823764,7,0,1,150,D,35,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824274,2,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824874,3,0,1,235,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825204,5,0,1,175,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825234,6,0,1,130,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825874,4,0,1,140,D,286,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826364,3,0,1,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828394,9,0,1,160,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828684,2,0,1,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829434,3,0,1,300,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829524,8,0,1,175,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829824,6,0,1,,A,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829924,2,0,1,130,D,7500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830394,3,0,1,300,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831854,12,0,1,200,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832154,6,0,1,130,D,1077,D,1135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832974,4,0,1,,A,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833584,5,0,1,235,D,1128,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834504,4,0,1,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834984,10,0,1,190,D,41,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835484,2,0,1,130,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836344,5,0,1,,A,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836424,2,0,1,235,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04838584,3,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04838974,7,0,1,150,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04839034,4,0,1,200,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04839174,2,0,1,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04839234,4,0,1,200,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04840814,2,0,1,175,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841554,4,0,1,240,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841614,8,0,1,300,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04843824,3,0,1,200,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04844204,3,0,1,140,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04845124,4,0,1,130,D,8000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846204,3,0,1,175,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846984,3,6,1,300,D,38,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846984,3,5,1,235,D,142,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846984,3,4,1,190,D,6,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846984,3,3,1,175,D,15,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846984,3,2,1,140,D,889,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846984,3,1,1,130,D,60,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846984,3,0,1,310,D,,H,,A,310,D,235,D,,A,,A,,A,,A,,A,,A,,A
20222,04848124,4,0,1,300,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04848624,13,0,1,140,D,300,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04848664,2,0,1,,A,,A,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04849504,8,0,1,,A,,A,330,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04895163,7,0,1,130,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04895343,4,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04896863,2,2,1,175,D,30,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04896863,2,1,1,300,D,170,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04896863,2,0,1,310,D,,H,,A,300,D,175,D,,A,,A,,A,,A,,A,,A,,A
20222,04897363,4,0,1,130,D,3200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04902903,6,0,1,,A,,A,362,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04903113,2,0,1,200,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04904293,5,0,1,,A,,A,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04905683,2,0,1,150,D,11000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
