QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20222,04815344,18,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,2000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815404,22,0,5,01,D,100,D,,A,3,D,07,D,2021,D,175000,D,50000,D,4000,D,3800,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20222,04815424,14,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815424,15,0,5,02,D,300,D,,A,3,D,,B,1981,D,,A,,A,,A,530,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20222,04815454,10,0,1,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,2700,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815474,35,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815614,20,0,5,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,5800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815754,17,0,5,01,D,100,D,,A,3,D,09,D,2021,D,218000,D,5000,D,0,D,2000,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20222,04815784,21,0,5,01,D,100,D,,A,1,D,,B,2014,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815814,15,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815834,19,0,5,01,D,100,D,,A,3,D,,B,1966,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815914,6,0,5,01,D,100,D,,A,3,D,,B,,C,,A,,A,,A,1700,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815924,34,0,5,01,D,100,D,,A,3,D,11,D,2021,D,410000,D,0,D,10000,D,870,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20222,04815944,10,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04816004,8,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,6800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04816064,14,0,5,01,D,100,D,,A,3,D,,B,1979,D,,A,,A,,A,560,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04816134,15,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,0,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04816184,22,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,5600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04816184,23,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816184,24,0,5,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816314,12,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,2800,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04816364,14,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04816394,6,0,5,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04816524,11,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04816544,11,0,1,01,D,100,D,,A,3,D,12,D,2021,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
