ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,5,D,D,1,,A,D,,A,,A,04815814,,A,,A,,A,,A,15,D,HHP,5,1,7,4,D,20222
0,,A,,A,1,D,1,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,04815814,,A,,A,,A,,A,,A,HHP,5,1,8,1,D,20222
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,04,,D,C,1,,A,D,2,D,,A,04815814,2,D,,A,,A,,A,390,F,HHP,5,1,9,,A,20222
0,,A,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,53,D,D,1,,A,D,,A,,A,04815924,,A,,A,,A,,A,345,D,HHP,5,1,11,1,D,20222
0,,A,1,D,,A,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,4,D,D,1,,A,D,,A,,A,04815924,,A,,A,,A,,A,26,D,HHP,5,1,12,4,D,20222
0,2,D,1,D,1,D,2,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,64,D,D,1,,A,D,2,D,,A,04815924,2,D,,A,,A,,A,416,D,HHP,5,1,13,,A,20222
0,2,D,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,84,D,D,1,,A,D,,A,,A,04816004,1,D,,A,,A,,A,252,D,HHP,5,1,3,,A,20222
0,2,D,2,D,,A,1,D,2,D,,A,,A,1,1,,1,D,D,A,D,02,,D,A,1,,A,D,,A,,A,04816024,1,D,,A,,A,,A,,A,HHP,5,1,3,,A,20222
0,,A,1,D,1,D,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,01,,D,C,1,,A,D,,A,,A,04816104,,A,,A,,A,,A,95,F,HHP,5,1,4,1,D,20222
0,,A,1,D,1,D,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,01,,D,C,1,,A,D,,A,,A,04816104,,A,,A,,A,,A,30,F,HHP,5,1,5,4,D,20222
