QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20222,05031291,22,0,1,01,D,100,D,.0397,D,299375,D,30,D,2108,D,3,D,4,D,,A,,A,684,D,472,D,474,D,476,D,952,D,950,D,948,D,,A,12,D,2019,D,1,D,,A,287623,D,287151,D,286677,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05031381,15,0,1,01,D,100,D,.0365,D,275000,D,30,D,1677,D,3,D,4,D,5,D,,A,419,D,515,D,517,D,518,D,743,D,741,D,740,D,,A,08,D,2016,D,1,D,,A,244241,D,243726,D,243209,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05031391,6,0,1,01,D,100,D,.0400,F,261827,F,30,F,1250,F,,C,,C,,C,,C,0,F,438,F,440,F,441,F,812,F,810,F,809,F,,A,06,F,2018,F,1,F,,A,243545,F,243106,F,242667,F,01,D,,C,,C,,C,,A,,A,,A,,C,,A,2,D
20222,05031451,17,0,1,01,D,100,D,.0311,D,373281,D,30,D,2192,D,3,D,4,D,,A,,A,596,D,655,D,657,D,659,D,941,D,939,D,937,D,,A,10,D,2020,D,1,D,,A,363026,D,362371,D,361714,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05031491,14,0,1,01,D,100,D,.0296,F,344000,F,15,F,2570,F,3,F,4,F,,A,,A,201,F,1551,F,1555,F,1558,F,818,F,814,F,811,F,,A,07,F,2021,F,1,F,032022,F,331731,F,330180,F,328625,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05031491,15,0,1,01,D,100,D,.0450,F,956462,V,30,F,5958,V,3,F,,A,,A,,A,480,F,,A,1273,F,1278,F,,A,3627,F,3622,F,,A,04,F,2022,F,1,F,042022,F,,A,892842,V,898310,V,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05031691,14,0,1,01,D,100,D,.0450,D,200000,D,20,D,1400,D,,B,,B,,B,,B,135,D,517,D,519,D,521,D,748,D,746,D,744,D,,A,01,D,2022,D,1,D,,A,199485,D,198968,D,198449,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05031691,15,0,1,04,D,200,D,.0400,D,150000,D,30,D,1000,D,3,D,4,D,,A,,A,284,D,265,D,265,D,266,D,451,D,451,D,450,D,,A,01,D,2017,D,1,D,,A,135416,D,135151,D,134886,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05031721,16,0,1,01,D,100,D,.0296,D,115000,D,30,D,763,D,3,D,4,D,,A,,A,281,D,201,D,201,D,202,D,281,D,281,D,280,D,,A,09,D,2021,D,1,D,,A,114003,D,113803,D,113601,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05032041,25,0,1,01,D,100,D,.0296,D,400000,D,30,D,2200,D,3,D,4,D,5,D,,A,522,D,714,D,716,D,717,D,964,D,962,D,961,D,,A,01,D,2021,D,1,D,,A,390878,D,390165,D,389449,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05032071,19,0,1,01,D,100,D,.0296,D,84000,D,30,D,800,D,,B,,B,,B,,B,448,D,149,D,149,D,150,D,203,D,203,D,202,D,,A,03,D,2021,D,1,D,,A,82387,D,82239,D,82089,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05032181,17,0,1,01,D,100,D,.0296,D,210000,D,30,D,1190,D,3,D,4,D,,A,,A,309,D,0,D,0,D,0,D,881,D,881,D,881,D,,A,10,D,2021,D,1,D,,A,210000,D,210000,D,210000,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D,1,D
20222,05032251,21,0,1,01,D,100,D,.0450,D,110000,D,30,D,980,D,3,D,4,D,,A,,A,423,D,305,D,307,D,308,D,252,D,250,D,249,D,,A,06,D,2005,D,1,D,,A,67073,D,66767,D,66461,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05032401,31,0,1,01,D,100,D,.0311,D,956462,T,30,D,5958,T,3,D,4,D,,A,,A,886,D,1507,D,1511,D,1515,D,2128,D,2124,D,2120,D,,A,06,D,2020,D,1,D,,A,890193,T,892842,T,898310,T,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05032441,21,0,1,01,D,100,D,.0400,D,340000,D,20,D,3400,D,3,D,4,D,,A,,A,1340,D,1477,D,1482,D,1486,D,583,D,578,D,574,D,,A,06,D,2010,D,1,D,,A,175026,D,173549,D,172068,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05032461,8,0,1,01,D,100,D,.0365,D,165589,D,15,D,1196,D,3,D,,A,,A,,A,0,D,851,D,854,D,856,D,345,D,342,D,340,D,,A,06,D,2016,D,1,D,,A,113376,D,112525,D,111671,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05032491,10,0,1,01,D,100,D,.0296,D,217814,D,15,D,3500,D,3,D,4,D,,A,,A,2000,D,992,D,994,D,997,D,508,D,506,D,503,D,,A,02,D,2021,D,1,D,,A,206103,D,205112,D,204118,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05032501,40,0,1,01,D,100,D,.0296,D,956462,T,30,D,5958,T,3,D,4,D,,A,,A,1648,D,1213,D,1216,D,1219,D,1639,D,1636,D,1633,D,,A,01,D,2021,D,1,D,,A,890193,T,892842,T,898310,T,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05032581,9,0,1,01,D,100,D,.0311,D,268968,D,30,D,1150,D,,A,4,D,,A,,A,0,D,482,D,483,D,484,D,668,D,667,D,666,D,,A,02,D,2020,D,1,D,,A,257768,D,257286,D,256802,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05032691,22,0,1,01,D,100,D,.0365,F,301826,F,15,F,2627,F,3,F,,A,,A,,A,447,F,2520,V,2530,V,2542,V,407,F,401,F,396,F,,A,10,F,2012,F,1,F,,A,133732,F,131958,F,130180,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033061,39,0,1,01,D,100,D,.0296,D,160000,D,15,D,1552,D,3,D,4,D,,A,,A,450,D,723,D,725,D,727,D,379,D,377,D,375,D,,A,05,D,2021,D,1,D,,A,153571,D,152848,D,152123,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033141,21,0,1,01,D,100,D,.0538,D,444240,D,30,D,2489,D,,A,,A,,A,,A,0,D,582,D,584,D,587,D,1907,D,1905,D,1902,D,,A,03,D,2019,D,1,D,,A,425439,D,424858,D,424273,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033161,18,0,1,01,D,100,D,.0400,D,279000,D,30,D,2021,D,3,D,,A,,A,,A,689,D,475,D,476,D,478,D,857,D,856,D,854,D,,A,12,D,2017,D,1,D,,A,257167,D,256693,D,256216,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033201,26,0,1,01,D,100,D,.0397,D,238812,D,30,D,1600,D,3,D,4,D,,A,,A,464,D,381,D,382,D,383,D,755,D,754,D,753,D,,A,09,D,2019,D,1,D,,A,228301,D,227921,D,227539,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033261,18,0,1,01,D,100,D,.0311,D,180000,D,30,D,834,D,3,D,4,D,,A,,A,64,D,316,D,316,D,317,D,454,D,454,D,453,D,,A,11,D,2020,D,1,D,,A,175364,D,175048,D,174732,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033281,28,0,1,01,D,100,D,.0296,D,240000,D,30,D,1400,D,3,D,4,D,,A,,A,393,D,424,D,425,D,426,D,583,D,582,D,581,D,,A,05,D,2021,D,1,D,,A,236228,D,235804,D,235378,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
