QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20222,04815634,15,0,1,,A,1,D,,A,1,D,1,D,,A,86,E,84,E,82,E,105,E,106,E,106,E,59,E,60,E,62,E,,A,,A,,A,2,D,1,D
20222,04815634,16,0,1,,A,,A,2,D,1,D,2,D,,A,15,E,14,E,14,E,,A,,A,,A,,A,,A,,A,15,E,16,E,16,E,2,D,1,D
20222,04815634,17,0,1,,A,,A,2,D,1,D,2,D,,A,49,E,46,E,48,E,,A,,A,,A,,A,,A,,A,51,E,54,E,52,E,2,D,1,D
20222,04815714,23,0,1,,A,1,D,,A,1,D,1,D,,A,50,E,50,E,50,E,78,E,78,E,78,E,42,E,42,E,42,E,,A,,A,,A,2,D,1,D
20222,04815714,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,180,D,156,D,156,D,,A,1,D
20222,04815754,28,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,82,D,82,D,82,D,,A,1,D
20222,04815764,20,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,320,D,320,D,320,D,,A,1,D
20222,04815764,21,0,1,,A,1,D,,A,1,D,1,D,,A,49,E,47,E,46,E,84,E,86,E,85,E,32,E,32,E,34,E,,A,,A,,A,2,D,1,D
20222,04815784,34,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,230,D,230,D,230,D,,A,1,D
20222,04815784,35,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815814,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,74,D,74,D,74,D,,A,1,D
20222,04815814,28,0,1,,A,,A,,A,1,D,2,D,,A,85,D,85,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815924,49,0,1,,A,1,D,,A,1,D,2,D,,A,71,E,72,E,70,E,,A,,A,,A,49,E,48,E,50,E,,A,,A,,A,2,D,1,D
20222,04815924,50,0,1,,A,,A,,A,1,D,2,D,,A,100,D,100,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815934,10,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,48,D,48,D,48,D,,A,1,D
20222,04815934,11,0,1,,A,,A,,A,1,D,2,D,,A,20,D,20,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815944,17,0,1,,A,,A,2,D,1,D,2,D,,A,38,E,38,E,38,E,,A,,A,,A,,A,,A,,A,55,E,55,E,55,E,2,D,1,D
20222,04815944,18,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,220,D,220,D,220,D,,A,1,D
20222,04816004,17,0,1,,A,,A,,A,1,D,1,D,,A,82,E,72,E,82,E,123,E,133,E,123,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20222,04816004,18,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,165,D,165,D,165,D,,A,1,D
20222,04816064,20,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,49,D,49,D,49,D,,A,,A,,A,,A,1,D
20222,04816064,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,124,D,124,D,124,D,,A,1,D
20222,04816064,22,0,1,,A,,A,,A,1,D,1,D,,A,84,E,83,E,82,E,126,E,127,E,128,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20222,04816104,27,0,1,,A,1,D,,A,1,D,1,D,,A,115,E,115,E,113,E,206,E,206,E,203,E,79,E,79,E,84,E,,A,,A,,A,1,D,1,D
20222,04816104,28,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,188,D,188,D,188,D,,A,1,D
20222,04816114,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,83,D,83,D,83,D,,A,1,D
20222,04816114,24,0,1,,A,,A,,A,1,D,2,D,,A,60,D,60,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04816134,20,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,28,D,28,D,28,D,,A,1,D
20222,04816134,21,0,1,,A,1,D,,A,1,D,1,D,,A,36,E,35,E,34,E,58,E,58,E,58,E,38,E,39,E,40,E,,A,,A,,A,2,D,1,D
20222,04816184,36,0,1,,A,,A,,A,1,D,2,D,,A,45,D,45,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04816184,37,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,240,D,240,D,240,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04816224,38,0,1,,A,,A,2,D,1,D,1,D,,A,52,E,51,E,53,E,82,E,83,E,82,E,,A,,A,,A,51,E,51,E,50,E,2,D,1,D
20222,04816274,11,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D
