QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20222,04815634,1,0,1,120,D,1,D,03,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816544,1,0,1,160,D,1,D,03,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816724,1,0,1,100,D,1,D,02,D,1500,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817274,1,0,1,140,D,1,D,01,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817634,1,0,1,195,D,1,D,02,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817964,1,0,1,180,D,1,D,02,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819744,1,0,1,160,D,1,D,01,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819964,1,0,1,195,D,1,D,01,D,540,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820224,1,0,1,160,D,1,D,02,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820224,2,0,1,195,D,1,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820444,1,0,1,120,D,1,D,02,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820674,1,0,1,160,D,1,D,03,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821504,1,0,1,120,D,1,D,02,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821634,1,0,1,140,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821974,1,0,2,160,D,1,D,01,D,727,D,,A,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822064,1,0,1,160,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822064,2,0,1,195,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822534,1,0,1,120,D,1,D,01,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823214,1,0,1,170,D,1,D,02,D,740,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823264,1,0,1,140,D,1,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823394,1,0,1,220,D,1,D,03,D,,H,,A,,A,210,D,100,D,,A,,A,,A,,A,,A,,A,,A
20222,04823394,1,1,1,210,D,1,D,03,D,167,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823394,1,2,1,100,D,1,D,03,D,783,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823654,1,0,1,180,D,1,D,02,D,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824344,1,0,1,140,D,1,D,01,D,3024,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824494,1,0,1,160,D,1,D,01,D,772,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824494,2,0,1,100,D,1,D,01,D,867,D,,A,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824694,1,0,1,180,D,1,D,03,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824794,1,0,1,100,D,1,D,02,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824874,1,0,1,195,D,2,D,,A,,A,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825204,1,0,1,140,D,1,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825714,1,0,1,120,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
