QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_
20222,04815114,29,0,1,830,D,1,D,20,D,13,D
20222,04815114,30,0,1,840,D,1,D,65,D,02,D
20222,04815114,31,0,1,840,D,1,D,70,D,03,D
20222,04815114,32,0,1,820,D,1,D,40,D,03,D
20222,04815114,33,0,1,520,D,1,D,45,D,02,D
20222,04815114,34,0,1,210,D,1,D,75,D,03,D
20222,04815114,35,0,1,210,D,1,D,14,D,13,D
20222,04815114,36,0,1,355,D,1,D,18,D,13,D
20222,04815114,37,0,2,210,D,1,D,24,D,01,D
20222,04815124,26,0,1,830,D,1,D,40,D,13,D
20222,04815124,27,0,1,840,D,1,D,19,D,13,D
20222,04815124,28,0,1,840,D,1,D,13,F,02,D
20222,04815124,29,0,1,520,D,1,D,40,D,03,D
20222,04815124,30,0,1,330,D,1,D,5,D,13,D
20222,04815124,31,0,1,355,D,1,D,66,F,13,D
20222,04815124,32,0,1,355,D,1,D,18,F,13,D
20222,04815154,21,0,1,355,D,1,D,18,D,13,D
20222,04815204,38,0,1,830,D,1,D,21,D,13,D
20222,04815204,39,0,1,355,D,1,D,10,D,13,D
20222,04815204,40,0,1,355,D,1,D,10,D,13,D
20222,04815264,51,0,1,830,D,1,D,70,D,13,D
20222,04815264,52,0,1,830,D,1,D,560,D,13,D
20222,04815264,53,0,1,600,D,1,D,6400,D,03,D
20222,04815264,54,0,1,520,D,1,D,45,D,03,D
20222,04815264,55,0,1,150,D,1,D,20,D,13,D
20222,04815264,56,0,1,160,D,1,D,60,D,13,D
20222,04815264,57,0,1,330,D,1,D,15,D,13,D
20222,04815264,58,0,1,355,D,1,D,35,D,13,D
20222,04815264,59,0,1,370,D,1,D,160,D,03,D
20222,04815284,31,0,1,840,D,1,D,13,D,13,D
20222,04815284,32,0,1,610,D,1,D,90,D,03,D
20222,04815284,33,0,1,330,D,1,D,14,D,13,D
20222,04815284,34,0,1,355,D,1,D,18,D,13,D
20222,04815284,35,0,1,355,D,1,D,66,D,13,D
20222,04815324,12,0,1,840,D,1,D,7,F,13,D
20222,04815344,27,0,1,530,D,1,D,49,D,03,D
20222,04815344,28,0,1,355,D,1,D,13,D,13,D
20222,04815344,29,0,2,840,D,1,D,75,D,01,D
20222,04815474,46,0,1,355,D,1,D,12,D,13,D
20222,04815474,47,0,1,355,D,1,D,12,D,13,D
20222,04815474,48,0,1,355,D,1,D,110,D,13,D
20222,04815614,25,0,1,830,D,1,D,102,D,13,D
20222,04815634,14,0,1,830,D,1,D,20,F,13,D
20222,04815714,20,0,1,840,D,1,D,100,D,03,D
20222,04815714,21,0,1,330,D,1,D,15,D,13,D
20222,04815714,22,0,1,355,D,1,D,75,D,13,D
20222,04815754,26,0,1,150,D,1,D,25,D,13,D
20222,04815754,27,0,1,210,D,1,D,60,D,13,D
20222,04815784,32,0,1,330,D,1,D,10,D,13,D
20222,04815784,33,0,1,355,D,1,D,20,D,13,D
20222,04815814,21,0,1,150,D,1,D,9,D,13,D
20222,04815814,22,0,1,300,D,1,D,40,D,02,D
20222,04815814,23,0,1,370,D,1,D,60,D,03,D
20222,04815814,24,0,1,330,D,1,D,15,D,13,D
20222,04815814,25,0,1,355,D,1,D,10,D,13,D
20222,04815814,26,0,2,300,D,1,D,15,D,01,D
20222,04815924,42,0,1,830,D,1,D,50,D,13,D
20222,04815924,43,0,1,210,D,1,D,30,D,03,D
20222,04815924,44,0,1,400,D,1,D,37,D,03,D
20222,04815924,45,0,1,410,D,1,D,34,D,03,D
20222,04815924,46,0,1,355,D,1,D,15,D,13,D
20222,04815924,47,0,1,355,D,1,D,17,D,13,D
20222,04815944,16,0,1,355,D,1,D,11,D,13,D
20222,04816024,6,0,1,520,D,1,D,30,D,02,D
20222,04816114,17,0,1,500,D,1,D,100,D,03,D
20222,04816114,18,0,1,520,D,1,D,20,D,01,D
20222,04816114,19,0,1,520,D,1,D,20,D,02,D
20222,04816114,20,0,1,330,D,1,D,13,D,13,D
20222,04816114,21,0,1,700,D,1,D,40,D,13,D
20222,04816114,22,0,1,355,D,1,D,17,D,13,D
20222,04816134,19,0,1,355,D,1,D,7,D,13,D
20222,04816184,33,0,1,830,D,1,D,100,D,13,D
20222,04816184,34,0,1,355,D,1,D,19,D,13,D
20222,04816224,27,0,1,840,D,1,D,10,D,13,D
20222,04816224,28,0,1,520,D,1,D,20,D,01,D
20222,04816224,29,0,1,520,D,1,D,20,D,02,D
20222,04816224,30,0,1,520,D,1,D,20,D,03,D
20222,04816224,31,0,1,700,D,1,D,10,D,13,D
20222,04816224,32,0,1,355,D,1,D,15,D,13,D
20222,04816224,33,0,1,355,D,1,D,10,D,13,D
20222,04816224,34,0,1,355,D,1,D,8,D,13,D
20222,04816224,35,0,1,355,D,1,D,15,D,13,D
20222,04816224,36,0,1,355,D,1,D,12,D,13,D
20222,04816224,37,0,1,370,D,1,D,50,D,01,D
