QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_
20222,04815124,1,0,1,450,D,1,D,03,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,3,0,1,380,D,1,D,03,D,18000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815784,5,0,1,380,D,1,D,03,D,720,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817684,4,0,1,380,D,2,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817684,5,0,2,380,D,1,D,01,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817944,2,0,1,370,D,1,D,01,D,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817964,4,0,1,450,D,1,D,02,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817974,2,0,1,370,D,1,D,01,D,427,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818064,2,0,1,450,D,1,D,02,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818084,7,0,1,120,D,1,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818084,8,0,1,450,D,1,D,03,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818144,1,0,1,370,D,1,D,03,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818154,3,0,1,380,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818154,4,0,1,450,D,1,D,03,D,57,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818994,1,0,1,480,D,1,D,03,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819064,4,0,1,380,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,6,0,1,470,D,1,D,03,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819854,2,0,1,450,D,1,D,03,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820064,2,0,1,380,D,1,D,01,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820064,3,0,1,380,D,1,D,01,D,202,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820104,2,0,1,370,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820364,3,0,1,370,D,1,D,01,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820444,5,0,1,380,D,1,D,03,D,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822104,1,0,1,120,D,1,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822214,9,0,1,120,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822214,10,0,1,380,D,1,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822574,1,0,1,400,D,1,D,03,D,,H,400,D,370,D,,A,,A,,A,,A,,A,,A,,A
20222,04822574,1,1,1,370,D,1,D,03,D,323,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822574,1,2,1,380,D,1,D,03,D,77,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822854,1,0,1,470,D,1,D,03,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823274,1,0,1,370,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823564,3,0,1,380,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823634,2,0,1,380,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823634,3,0,1,450,D,1,D,03,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823884,4,0,1,380,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824244,1,0,1,380,D,1,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824374,5,0,1,380,D,1,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824634,1,0,2,380,D,2,D,01,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824664,2,0,1,370,D,1,D,01,D,813,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824724,2,0,1,120,D,1,D,02,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824894,1,0,1,370,D,1,D,03,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824994,1,0,1,380,D,2,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825024,1,0,1,380,D,1,D,03,D,44,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825194,3,0,1,380,D,1,D,03,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825444,3,0,2,380,D,1,D,01,D,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825724,1,0,1,450,D,1,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825844,1,0,1,480,D,1,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826384,2,0,1,450,D,1,D,02,D,215,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826954,1,0,1,470,D,1,D,04,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826954,2,0,1,380,D,2,D,04,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04827084,2,0,1,120,D,1,D,03,D,87,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04827614,1,0,1,380,D,1,D,02,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04827974,1,0,1,380,D,1,D,02,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828034,4,0,1,470,D,1,D,03,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828224,4,0,1,380,D,1,D,04,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828574,5,0,1,450,D,1,D,04,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828734,1,0,1,460,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828734,2,0,2,490,D,2,D,02,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829054,3,0,1,480,D,1,D,04,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829194,4,0,1,480,D,1,D,02,D,185,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829524,5,0,1,380,D,1,D,04,D,403,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829604,2,0,1,470,D,1,D,03,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829604,3,0,1,470,D,1,D,04,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829604,4,0,2,470,D,1,D,02,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829914,5,0,1,380,D,1,D,04,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830384,6,0,1,380,D,1,D,02,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830384,7,0,1,470,D,1,D,02,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830694,1,0,1,460,D,1,D,04,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830694,2,0,1,450,D,1,D,03,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831264,5,0,1,380,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831264,6,0,2,380,D,1,D,02,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831314,4,0,1,450,D,1,D,04,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831484,1,0,1,120,D,1,D,04,D,325,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831514,3,0,1,380,D,1,D,03,D,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831514,4,0,2,380,D,1,D,02,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831874,3,0,1,380,D,1,D,02,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832154,2,0,1,120,D,1,D,03,D,470,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832184,2,0,1,450,D,1,D,04,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832324,1,0,1,450,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832704,2,0,1,120,D,2,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832814,3,0,1,380,D,1,D,04,D,96,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833104,2,0,1,380,D,1,D,03,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833434,1,0,1,380,D,1,D,02,D,365,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833584,2,0,1,380,D,1,D,02,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833584,3,0,1,380,D,1,D,02,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833774,1,0,1,380,D,1,D,04,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833984,4,0,1,370,D,1,D,04,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833984,5,0,1,120,D,1,D,04,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833984,6,0,1,450,D,1,D,04,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834084,1,0,1,380,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
